provider,spec_file,path,method,operationId,summary,description,has_summary,has_description,has_operationId,deprecated
auth0,management-api-oas.json,/emails/provider,DELETE,delete_provider,Delete email provider,Delete the email provider.,true,true,true,false
auth0,management-api-oas.json,/event-streams/{id},DELETE,delete_event-streams_by_id,Delete an event stream,,true,false,true,false
auth0,management-api-oas.json,/experimentation/experiments/{id},DELETE,delete_experiment,Delete an experiment.,Permanently delete an experiment and its allocations by ID. Active experiments cannot be deleted; pause or complete first. Idempotent: returns 204 even if the experiment does not exist.,true,true,true,false
auth0,management-api-oas.json,/experimentation/feature-flags/{id},DELETE,delete_feature_flag,Delete a feature flag.,Delete a feature flag by ID. Idempotent: returns 204 even if flag does not exist.,true,true,true,false
auth0,management-api-oas.json,/experimentation/feature-flags/{id}/variations/{vid},DELETE,delete_variation,Delete a variation.,Delete a variation by ID. Returns 204 if the variation does not exist. Returns 404 if the parent feature flag does not exist.,true,true,true,false
auth0,management-api-oas.json,/experimentation/segments/{id},DELETE,delete_segment,Delete a segment.,Delete a segment by ID. Idempotent: returns 204 even if segment does not exist.,true,true,true,false
auth0,management-api-oas.json,/flows/vault/connections/{id},DELETE,delete_flows_vault_connections_by_id,Delete a Flows Vault connection,,true,false,true,false
auth0,management-api-oas.json,/flows/{flow_id}/executions/{execution_id},DELETE,delete_flows_executions_by_execution_id,Delete a flow execution,,true,false,true,false
auth0,management-api-oas.json,/flows/{id},DELETE,delete_flows_by_id,Delete a flow,,true,false,true,false
auth0,management-api-oas.json,/forms/{id},DELETE,delete_form,Delete a form,,true,false,true,false
auth0,management-api-oas.json,/grants,DELETE,delete_grants_by_user_id,Delete a grant by user_id,Delete a grant associated with your account.,true,true,true,false
auth0,management-api-oas.json,/grants/{id},DELETE,delete_grants_by_id,Delete a grant by id,Delete a grant associated with your account.,true,true,true,false
auth0,management-api-oas.json,/groups/{id},DELETE,delete_group,Delete a Group,Delete a group by its ID.,true,true,true,false
auth0,management-api-oas.json,/groups/{id}/roles,DELETE,delete_group_roles,Remove roles from a group,Unassign one or more [roles](https://auth0.com/docs/manage-users/access-control/rbac) from a specified group.,true,true,true,false
auth0,management-api-oas.json,/hooks/{id},DELETE,delete_hooks_by_id,Delete a hook,Delete a hook.,true,true,true,false
auth0,management-api-oas.json,/hooks/{id}/secrets,DELETE,delete_secrets,Delete hook secrets,Delete one or more existing secrets for a given hook. Accepts an array of secret names to delete.,true,true,true,false
auth0,management-api-oas.json,/keys/custom-signing,DELETE,delete_custom_signing_keys,Delete custom signing keys,Delete entire jwks representation of custom signing keys.,true,true,true,false
auth0,management-api-oas.json,/keys/encryption/{kid},DELETE,delete_encryption_key,Delete the encryption key by its key id,Delete the custom provided encryption key with the given ID and move back to using native encryption key.,true,true,true,false
auth0,management-api-oas.json,/keys/network-acls/{id},DELETE,delete_keys_network_acls,Delete a Network ACL key,Delete a key used to verify HTTP Message Signatures on Network ACL rules,true,true,true,false
auth0,management-api-oas.json,/log-streams/{id},DELETE,delete_log-streams_by_id,Delete log stream,Delete a log stream.,true,true,true,false
auth0,management-api-oas.json,/network-acls/{id},DELETE,delete_network-acls_by_id,Delete Access Control List,Delete existing access control list for your client.,true,true,true,false
auth0,management-api-oas.json,/organizations/{id},DELETE,delete_organizations_by_id,Delete organization,"Remove an Organization from your tenant.  This action cannot be undone. 

**Note**: Members are automatically disassociated from an Organization when it is deleted. However, this action does **not** delete these users from your tenant.",true,true,true,false
auth0,management-api-oas.json,/organizations/{id}/client-grants/{grant_id},DELETE,delete_client-grants_by_grant_id,Remove a client grant from an organization,,true,false,true,false
auth0,management-api-oas.json,/organizations/{id}/clients,DELETE,delete_organization_clients,Remove client associations from an organization,Remove one or more client associations from an organization.,true,true,true,false
auth0,management-api-oas.json,/organizations/{id}/connections/{connection_id},DELETE,delete_organization_connection,Delete a connection from an organization,,true,false,true,false
auth0,management-api-oas.json,/organizations/{id}/discovery-domains/{discovery_domain_id},DELETE,delete_discovery-domains_by_discovery_domain_id,Delete an organization discovery domain,Remove a discovery domain from an organization. This action cannot be undone.,true,true,true,false
auth0,management-api-oas.json,/organizations/{id}/enabled_connections/{connectionId},DELETE,delete_enabled_connections_by_connectionId,Delete connections from an organization,"Disable a specific connection for an Organization. Once disabled, Organization members can no longer use that connection to authenticate. 

**Note**: This action does not remove the connection from your tenant.",true,true,true,false
auth0,management-api-oas.json,/organizations/{id}/invitations/{invitation_id},DELETE,delete_invitations_by_invitation_id,Delete an invitation to an Organization,,true,false,true,false
auth0,management-api-oas.json,/organizations/{id}/members,DELETE,delete_members,Delete members from an organization,,true,false,true,false
auth0,management-api-oas.json,/organizations/{id}/members/{user_id}/roles,DELETE,delete_organization_member_roles,Delete user roles from an Organization member,"Remove one or more Organization-specific [roles](https://auth0.com/docs/manage-users/access-control/rbac) from a given user.

Users can be members of multiple Organizations with unique roles assigned for each membership. This action removes roles from a user in relation to the specified Organization. Roles assigned to the user within a different Organization cannot be managed in the same call.",true,true,true,false
auth0,management-api-oas.json,/organizations/{id}/organization-templates/{template_id},DELETE,delete_organizations_by_id_organization-templates_by_template_id,Unassign an organization template from an organization,Remove an Organization Template assignment from an organization.,true,true,true,false
auth0,management-api-oas.json,/organizations/{organization_id}/groups/{group_id}/roles,DELETE,delete_organization_group_roles,Remove roles assigned to a group in an organization context.,Unassign one or more roles from a specified group in the context of an organization.,true,true,true,false
auth0,management-api-oas.json,/rate-limit-policies/{id},DELETE,delete_rate-limit-policies_by_id,Delete a rate limit policy,,true,false,true,false
auth0,management-api-oas.json,/refresh-tokens/{id},DELETE,delete_refresh_token,Delete a refresh token,Delete a refresh token by its ID.,true,true,true,false
auth0,management-api-oas.json,/resource-servers/{id},DELETE,delete_resource-servers_by_id,Delete a resource server,"Delete an existing API by ID. For more information, read <a href=""https://www.auth0.com/docs/get-started/apis/api-settings"">API Settings</a>.",true,true,true,false
auth0,management-api-oas.json,/roles/{id},DELETE,delete_roles_by_id,Delete a role,"Delete a specific [user role](https://auth0.com/docs/manage-users/access-control/rbac) from your tenant. Once deleted, it is removed from any user who was previously assigned that role. This action cannot be undone.",true,true,true,false
auth0,management-api-oas.json,/roles/{id}/groups,DELETE,delete_role_groups,Remove groups from a role,Unassign one or more groups from a specified role.,true,true,true,false
auth0,management-api-oas.json,/roles/{id}/permissions,DELETE,delete_role_permission_assignment,Remove permissions from a role,Remove one or more [permissions](https://auth0.com/docs/manage-users/access-control/configure-core-rbac/manage-permissions) from a specified user role.,true,true,true,false
auth0,management-api-oas.json,/rules-configs/{key},DELETE,delete_rules-configs_by_key,Delete rules config for a given key,Delete a rules config variable identified by its key.,true,true,true,false
auth0,management-api-oas.json,/rules/{id},DELETE,delete_rules_by_id,Delete a rule,Delete a rule.,true,true,true,false
auth0,management-api-oas.json,/self-service-profiles/{id},DELETE,delete_self-service-profiles_by_id,Delete a self-service profile by Id,Deletes a self-service profile by Id.,true,true,true,false
auth0,management-api-oas.json,/sessions/{id},DELETE,delete_session,Delete session,Delete a session by ID.,true,true,true,false
auth0,management-api-oas.json,/token-exchange-profiles/{id},DELETE,delete_token-exchange-profiles_by_id,Delete a token exchange profile,"Delete a Token Exchange Profile within your tenant.

By using this feature, you agree to the applicable Free Trial terms in [Okta's Master Subscription Agreement](https://www.okta.com/legal/). It is your responsibility to securely validate the user's subject_token. See [User Guide](https://auth0.com/docs/authenticate/custom-token-exchange) for more details.",true,true,true,false
auth0,management-api-oas.json,/user-attribute-profiles/{id},DELETE,delete_user-attribute-profiles_by_id,Delete User Attribute Profile,Delete a single User Attribute Profile specified by ID.,true,true,true,false
auth0,management-api-oas.json,/user-blocks,DELETE,delete_user-blocks,Unblock by identifier,"Remove all [Brute-force Protection](https://auth0.com/docs/secure/attack-protection/brute-force-protection) blocks for the user with the given identifier (username, phone number, or email).

Note: This endpoint does not unblock users that were [blocked by a tenant administrator](https://auth0.com/docs/user-profile#block-and-unblock-a-user).",true,true,true,false
auth0,management-api-oas.json,/user-blocks/{id},DELETE,delete_user-blocks_by_id,Unblock a user,"Remove all [Brute-force Protection](https://auth0.com/docs/secure/attack-protection/brute-force-protection) blocks for the user with the given ID.

Note: This endpoint does not unblock users that were [blocked by a tenant administrator](https://auth0.com/docs/user-profile#block-and-unblock-a-user).",true,true,true,false
auth0,management-api-oas.json,/users/{id},DELETE,delete_users_by_id,Delete a User,"Delete a user by user ID. This action cannot be undone. For Auth0 Dashboard instructions, see [Delete Users](https://auth0.com/docs/manage-users/user-accounts/delete-users).",true,true,true,false
auth0,management-api-oas.json,/users/{id}/authentication-methods,DELETE,delete_authentication-methods,Delete all authentication methods for the given user,"Remove all authentication methods (i.e., enrolled MFA factors) from the specified user account. This action cannot be undone.",true,true,true,false
auth0,management-api-oas.json,/users/{id}/authentication-methods/{authentication_method_id},DELETE,delete_authentication-methods_by_authentication_method_id,Delete an authentication method by ID,"Remove the authentication method with the given ID from the specified user. For more information, review <a href=""https://auth0.com/docs/secure/multi-factor-authentication/manage-mfa-auth0-apis/manage-authentication-methods-with-management-api"">Manage Authentication Methods with Management API</a>.",true,true,true,false
auth0,management-api-oas.json,/users/{id}/authenticators,DELETE,delete_authenticators,Delete All Authenticators,"Remove all authenticators registered to a given user ID, such as OTP, email, phone, and push-notification. This action cannot be undone. For more information, review [Manage Authentication Methods with Management API](https://auth0.com/docs/secure/multi-factor-authentication/manage-mfa-auth0-apis/manage-authentication-methods-with-management-api).",true,true,true,false
auth0,management-api-oas.json,/users/{id}/identities/{provider}/{user_id},DELETE,delete_user_identity_by_user_id,Unlink a User Identity,"Unlink a specific secondary account from a target user. This action requires the ID of both the target user and the secondary account. 

Unlinking the secondary account removes it from the identities array of the target user and creates a new standalone profile for the secondary account. To learn more, review [Unlink User Accounts](https://auth0.com/docs/manage-users/user-accounts/user-account-linking/unlink-user-accounts).",true,true,true,false
auth0,management-api-oas.json,/users/{id}/multifactor/{provider},DELETE,delete_multifactor_by_provider,Delete a User's Multi-factor Provider,Remove a [multifactor](https://auth0.com/docs/multifactor-authentication) authentication configuration from a user's account. This forces the user to manually reconfigure the multi-factor provider.,true,true,true,false
auth0,management-api-oas.json,/users/{id}/permissions,DELETE,delete_permissions,Remove Permissions from a User,Remove permissions from a user.,true,true,true,false
auth0,management-api-oas.json,/users/{id}/roles,DELETE,delete_user_roles,Remove roles from a user,"Remove one or more specified user roles assigned to a user.

**Note**: This action removes a role from a user in the context of your whole tenant. If you want to unassign a role from a user in the context of a specific Organization, use the following endpoint: [Delete user roles from an Organization member](https://auth0.com/docs/api/management/v2/organizations/delete-organization-member-roles).",true,true,true,false
auth0,management-api-oas.json,/users/{user_id}/refresh-tokens,DELETE,delete_refresh_tokens_for_user,Delete refresh tokens for a user,Delete all refresh tokens for a user.,true,true,true,false
auth0,management-api-oas.json,/users/{user_id}/sessions,DELETE,delete_sessions_for_user,Delete sessions for user,Delete all sessions for a user.,true,true,true,false
auth0,management-api-oas.json,/verifiable-credentials/verification/templates/{id},DELETE,delete_vc_templates_by_id,Delete a verifiable credential template by ID.,Delete a verifiable credential template.,true,true,true,false
auth0,management-api-oas.json,/actions/actions/{id},PATCH,patch_action,Update an action,"Update an existing action. If this action is currently bound to a trigger, updating it will **not** affect any user flows until the action is deployed.",true,true,true,false
auth0,management-api-oas.json,/actions/modules/{id},PATCH,patch_action_module,Update a specific Actions Module,"Update properties of an existing Actions Module, such as code, dependencies, or secrets.",true,true,true,false
auth0,management-api-oas.json,/actions/triggers/{triggerId}/bindings,PATCH,patch_bindings,Update trigger bindings,"Update the actions that are bound (i.e. attached) to a trigger. Once an action is created and deployed, it must be attached (i.e. bound) to a trigger so that it will be executed as part of a flow. The order in which the actions are provided will determine the order in which they are executed.",true,true,true,false
auth0,management-api-oas.json,/agents/{id},PATCH,patch_agent,Update an agent,Update an agent,true,true,true,false
auth0,management-api-oas.json,/attack-protection/bot-detection,PATCH,patch_bot-detection,Update Bot Detection settings,Update the Bot Detection configuration of your tenant.,true,true,true,false
auth0,management-api-oas.json,/attack-protection/breached-password-detection,PATCH,patch_breached-password-detection,Update Breached Password Detection settings,Update details of the Breached Password Detection configuration of your tenant.,true,true,true,false
auth0,management-api-oas.json,/attack-protection/brute-force-protection,PATCH,patch_brute-force-protection,Update Brute-force settings,Update the Brute-force Protection configuration of your tenant.,true,true,true,false
auth0,management-api-oas.json,/attack-protection/captcha,PATCH,patch_captcha,Partial Update for CAPTCHA Configuration,Update existing CAPTCHA configuration for your client.,true,true,true,false
auth0,management-api-oas.json,/attack-protection/phone-provider-protection,PATCH,patch_phone-provider-protection,Update Phone Provider Protection settings,Update the phone provider protection configuration for a tenant.,true,true,true,false
auth0,management-api-oas.json,/attack-protection/suspicious-ip-throttling,PATCH,patch_suspicious-ip-throttling,Update Suspicious IP Throttling settings,Update the details of the Suspicious IP Throttling configuration of your tenant.,true,true,true,false
auth0,management-api-oas.json,/branding,PATCH,patch_branding,Update branding settings,Update branding settings.,true,true,true,false
auth0,management-api-oas.json,/branding/phone/providers/{id},PATCH,update_phone_provider,Update the phone provider,"Update a [phone provider](https://auth0.com/docs/customize/phone-messages/configure-phone-messaging-providers).
The `credentials` object requires different properties depending on the phone provider (which is specified using the `name` property).",true,true,true,false
auth0,management-api-oas.json,/branding/phone/templates/{id},PATCH,update_phone_template,Update a phone notification template,,true,false,true,false
auth0,management-api-oas.json,/branding/phone/templates/{id}/reset,PATCH,reset_phone_template,Resets a phone notification template values,,true,false,true,false
auth0,management-api-oas.json,/branding/themes/{themeId},PATCH,patch_branding_theme,Update branding theme,Update branding theme.,true,true,true,false
auth0,management-api-oas.json,/client-grants/{id},PATCH,patch_client-grants_by_id,Update client grant,Update a client grant.,true,true,true,false
auth0,management-api-oas.json,/clients/{client_id}/credentials/{credential_id},PATCH,patch_credentials_by_credential_id,Update a client credential,"Change a client credential you previously created. May be enabled or disabled. For more information, read <a href=""https://www.auth0.com/docs/get-started/authentication-and-authorization-flow/client-credentials-flow"">Client Credential Flow</a>.",true,true,true,false
auth0,management-api-oas.json,/clients/{id},PATCH,patch_clients_by_id,Update a client,"Updates a client's settings. For more information, read [Applications in Auth0](https://www.auth0.com/docs/get-started/applications) and [Single Sign-On](https://www.auth0.com/docs/authenticate/single-sign-on).

Notes:
- The `client_secret` and `signing_key` attributes can only be updated with the `update:client_keys` scope.
- The `client_authentication_methods` and `token_endpoint_auth_method` properties are mutually exclusive. Use `client_authentication_methods` to configure the client with Private Key JWT authentication method. Otherwise, use `token_endpoint_auth_method` to configure the client with client secret (basic or post) or with no authentication method (none).
- When using `client_authentication_methods` to configure the client with Private Key JWT authentication method, only specify the credential IDs that were generated when creating the credentials on the client.
- To configure `client_authentication_methods`, the `update:client_credentials` scope is required.
- To configure `client_authentication_methods`, the property `jwt_configuration.alg` must be set to RS256.
- To change a client's `is_first_party` property to `false`, the `organization_usage` and `organization_require_behavior` properties must be unset.",true,true,true,false
auth0,management-api-oas.json,/connection-profiles/{id},PATCH,patch_connection-profiles_by_id,Modify a Connection Profile,Update the details of a specific Connection Profile.,true,true,true,false
auth0,management-api-oas.json,/connections/{id},PATCH,patch_connections_by_id,Update a connection,"Update details for a specific [connection](https://auth0.com/docs/authenticate/identity-providers), including option properties for identity provider configuration.

**Note**: If you use the `options` parameter, the entire `options` object is overridden. To avoid partial data or other issues, ensure all parameters are present when using this option. If any options are unspecified, the default will be used, even if it differs from the existing value.",true,true,true,false
auth0,management-api-oas.json,/connections/{id}/clients,PATCH,patch_clients,Update enabled clients for a connection,,true,false,true,false
auth0,management-api-oas.json,/connections/{id}/directory-provisioning,PATCH,patch_directory-provisioning,Patch a directory provisioning configuration,Update the directory provisioning configuration of a connection.,true,true,true,false
auth0,management-api-oas.json,/connections/{id}/scim-configuration,PATCH,patch_scim-configuration,Patch a connection's SCIM configuration,Update a scim configuration by its `connectionId`.,true,true,true,false
auth0,management-api-oas.json,/custom-domains/default,PATCH,patch_default,Update the default custom domain for the tenant,Set the default custom domain for the tenant.,true,true,true,false
auth0,management-api-oas.json,/custom-domains/{id},PATCH,patch_custom-domains_by_id,Update custom domain configuration,"Update a custom domain.

These are the attributes that can be updated:

- custom_client_ip_header
- tls_policy

**Updating CUSTOM_CLIENT_IP_HEADER for a custom domain**

To update the `custom_client_ip_header` for a domain, the body to
send should be:

```json
{ ""custom_client_ip_header"": ""cf-connecting-ip"" }
```

**Updating TLS_POLICY for a custom domain**

To update the `tls_policy` for a domain, the body to send should be:

```json
{ ""tls_policy"": ""recommended"" }
```

TLS Policies:

- recommended - for modern usage this includes TLS 1.2 only

Some considerations:

- The TLS ciphers and protocols available in each TLS policy follow industry recommendations, and may be updated occasionally.
- The `compatible` TLS policy is no longer supported.",true,true,true,false
auth0,management-api-oas.json,/email-templates/{templateName},PATCH,patch_email-templates_by_templateName,Patch an email template,Modify an email template.,true,true,true,false
auth0,management-api-oas.json,/emails/provider,PATCH,patch_provider,Update email provider,"Update an [email provider](https://auth0.com/docs/email/providers). The `credentials` object
requires different properties depending on the email provider (which is specified using the `name` property):

- `mandrill` requires `api_key`
- `sendgrid` requires `api_key`
- `sparkpost` requires `api_key`. Optionally, set `region` to `eu` to use
    the SparkPost service hosted in Western Europe; set to `null` to use the SparkPost service hosted in
    North America. `eu` or `null` are the only valid values for `region`.
- `mailgun` requires `api_key` and `domain`. Optionally, set `region` to
    `eu` to use the Mailgun service hosted in Europe; set to `null` otherwise. `eu` or
    `null` are the only valid values for `region`.
- `ses` requires `accessKeyId`, `secretAccessKey`, and `region`
- `smtp` requires `smtp_host`, `smtp_port`, `smtp_user`, and
    `smtp_pass`

Depending on the type of provider it is possible to specify `settings` object with different configuration
options, which will be used when sending an email:

- `smtp` provider, `settings` may contain `headers` object.
    - When using AWS SES SMTP host, you may provide a name of configuration set in
      `X-SES-Configuration-Set` header. Value must be a string.
    - When using Sparkpost host, you may provide value for
      `X-MSYS_API` header. Value must be an object.

  For `ses` provider, `settings` may contain `message` object, where you can provide
  a name of configuration set in `configuration_set_name` property. Value must be a string.",true,true,true,false
auth0,management-api-oas.json,/event-streams/{id},PATCH,patch_event-streams_by_id,Update an event stream,,true,false,true,false
auth0,management-api-oas.json,/experimentation/experiments/{id},PATCH,update_experiment,Update an experiment.,Partially update an experiment by ID. Only provided fields are updated. Providing allocations replaces the entire allocations set.,true,true,true,false
auth0,management-api-oas.json,/experimentation/feature-flags/{id},PATCH,update_feature_flag,Update a feature flag.,Partially update a feature flag by ID. Only provided fields are updated.,true,true,true,false
auth0,management-api-oas.json,/experimentation/feature-flags/{id}/variations/{vid},PATCH,update_variation,Update a variation.,Partially update a variation by ID. Only provided fields are updated.,true,true,true,false
auth0,management-api-oas.json,/experimentation/segments/{id},PATCH,update_segment,Update a segment.,Partially update a segment by ID. Only provided fields are updated. Sending rules replaces the entire rules array.,true,true,true,false
auth0,management-api-oas.json,/flows/vault/connections/{id},PATCH,patch_flows_vault_connections_by_id,Update a Flows Vault connection,,true,false,true,false
auth0,management-api-oas.json,/flows/{id},PATCH,patch_flows_by_id,Update a flow,,true,false,true,false
auth0,management-api-oas.json,/forms/{id},PATCH,patch_form,Update a form,,true,false,true,false
auth0,management-api-oas.json,/guardian/factors/duo/settings,PATCH,patch_factor_duo_settings,Update the DUO Configuration,,true,false,true,false
auth0,management-api-oas.json,/guardian/factors/push-notification/providers/apns,PATCH,patch_apns,Update APNs provider configuration,Modify configuration details of the multi-factor authentication APNS provider associated with your tenant.,true,true,true,false
auth0,management-api-oas.json,/guardian/factors/push-notification/providers/fcm,PATCH,patch_fcm,Updates FCM configuration,Modify configuration details of the multi-factor authentication FCM provider associated with your tenant.,true,true,true,false
auth0,management-api-oas.json,/guardian/factors/push-notification/providers/fcmv1,PATCH,patch_fcmv1,Updates FCMV1 configuration,Modify configuration details of the multi-factor authentication FCMV1 provider associated with your tenant.,true,true,true,false
auth0,management-api-oas.json,/guardian/factors/push-notification/providers/sns,PATCH,patch_sns,Update AWS SNS configuration,Configure the [AWS SNS push notification provider configuration](https://auth0.com/docs/multifactor-authentication/developer/sns-configuration) (subscription required).,true,true,true,false
auth0,management-api-oas.json,/hooks/{id},PATCH,patch_hooks_by_id,Update a hook,Update an existing hook.,true,true,true,false
auth0,management-api-oas.json,/hooks/{id}/secrets,PATCH,patch_secrets,Update hook secrets,"Update one or more existing secrets for an existing hook. Accepts an object of key-value pairs, where the key is the name of the existing secret.",true,true,true,false
auth0,management-api-oas.json,/log-streams/{id},PATCH,patch_log-streams_by_id,Update a log stream,"Update a log stream.

**Examples of how to use the PATCH endpoint.**

The following fields may be updated in a PATCH operation:

- name
- status
- sink

Note: For log streams of type `eventbridge` and `eventgrid`, updating the `sink` is not permitted.

**Update the status of a log stream**

```json
{
  ""status"": ""active|paused""
}
```

**Update the name of a log stream**

```json
{
  ""name"": ""string""
}
```

**Update the sink properties of a stream of type `http`**

```json
{
  ""sink"": {
    ""httpEndpoint"": ""string"",
    ""httpContentType"": ""string"",
    ""httpContentFormat"": ""JSONARRAY|JSONLINES"",
    ""httpAuthorization"": ""string""
  }
}
```

**Update the sink properties of a stream of type `datadog`**

```json
{
  ""sink"": {
    ""datadogRegion"": ""string"",
    ""datadogApiKey"": ""string""
  }
}
```

**Update the sink properties of a stream of type `splunk`**

```json
{
  ""sink"": {
    ""splunkDomain"": ""string"",
    ""splunkToken"": ""string"",
    ""splunkPort"": ""string"",
    ""splunkSecure"": ""boolean""
  }
}
```

**Update the sink properties of a stream of type `sumo`**

```json
{
  ""sink"": {
    ""sumoSourceAddress"": ""string""
  }
}
```",true,true,true,false
auth0,management-api-oas.json,/network-acls/{id},PATCH,patch_network-acls_by_id,Partial Update for an Access Control List,Update existing access control list for your client.,true,true,true,false
auth0,management-api-oas.json,/organizations/{id},PATCH,patch_organizations_by_id,Modify an Organization,"Update the details of a specific [Organization](https://auth0.com/docs/manage-users/organizations/configure-organizations/create-organizations), such as name and display name, branding options, and metadata.",true,true,true,false
auth0,management-api-oas.json,/organizations/{id}/clients/{client_id},PATCH,patch_organization_client,Update an organization client association,Update an organization client association.,true,true,true,false
auth0,management-api-oas.json,/organizations/{id}/connections/{connection_id},PATCH,patch_organization_connection,Update a connection for an organization,,true,false,true,false
auth0,management-api-oas.json,/organizations/{id}/discovery-domains/{discovery_domain_id},PATCH,patch_discovery-domains_by_discovery_domain_id,Update an organization discovery domain,Update the verification status and/or use_for_organization_discovery for an organization discovery domain. The `status` field must be either `pending` or `verified`. The `use_for_organization_discovery` field can be `true` or `false` (default: `true`).,true,true,true,false
auth0,management-api-oas.json,/organizations/{id}/enabled_connections/{connectionId},PATCH,patch_enabled_connections_by_connectionId,Update the Connection of an Organization,Modify the details of a specific connection currently enabled for an Organization.,true,true,true,false
auth0,management-api-oas.json,/prompts,PATCH,patch_prompts,Update prompt settings,"Update the Universal Login configuration of your tenant. This includes the <a href=""https://auth0.com/docs/authenticate/login/auth0-universal-login/identifier-first"">Identifier First Authentication</a> and <a href=""https://auth0.com/docs/secure/multi-factor-authentication/fido-authentication-with-webauthn/configure-webauthn-device-biometrics-for-mfa"">WebAuthn with Device Biometrics for MFA</a> features.",true,true,true,false
auth0,management-api-oas.json,/prompts/rendering,PATCH,patch_bulk_rendering,Update render settings for multiple screens,Learn more about [configuring render settings](https://auth0.com/docs/customize/login-pages/advanced-customizations/getting-started/configure-acul-screens) for advanced customization.,true,true,true,false
auth0,management-api-oas.json,/prompts/{prompt}/screen/{screen}/rendering,PATCH,patch_rendering,Update render settings for a screen,Learn more about [configuring render settings](https://auth0.com/docs/customize/login-pages/advanced-customizations/getting-started/configure-acul-screens) for advanced customization.,true,true,true,false
auth0,management-api-oas.json,/rate-limit-policies/{id},PATCH,patch_rate-limit-policies_by_id,Update a rate limit policy,,true,false,true,false
auth0,management-api-oas.json,/refresh-tokens/{id},PATCH,patch_refresh-tokens_by_id,Update a refresh token,Update a refresh token by its ID.,true,true,true,false
