row_id,provider,method,path,operationId,summary,description,truth_class,confidence,reason,source_set
b0050,github,DELETE,/repos/{owner}/{repo}/branches/{branch}/protection/restrictions/apps,repos/remove-app-access-restrictions,Remove app access restrictions,"Protected branches are available in public repositories with GitHub Free and GitHub Free for organizations, and in public and private repositories with GitHub Pro, GitHub Team, GitHub Enterprise Cloud, and GitHub Enterprise Server. For more information, see [GitHub's products](https://docs.github.com/github/getting-started-with-github/githubs-products) in the GitHub Help documentation. Removes the ability of an app to push to this branch. Only installed GitHub Apps with `write` access to the `co",x,high,DELETE method wins no trash named,buildset-2026-09-18
b0051,github,DELETE,/teams/{team_id}/discussions/{discussion_number},teams/delete-discussion,Delete a discussion,Delete a discussion from a team's page. OAuth access tokens require the `write:discussion` [scope](https://docs.github.com/enterprise-server@2.18/apps/building-oauth-apps/understanding-scopes-for-oauth-apps/).,x,high,delete method no trash,buildset-2026-09-18
b0052,github,DELETE,/orgs/{org}/public_members/{username},orgs/remove-public-membership-for-authenticated-user,Remove public organization membership for the authenticated user,,x,high,DELETE method wins no restore named,buildset-2026-09-18
b0053,github,DELETE,/repos/{owner}/{repo}/pages,repos/delete-pages-site,Delete a GitHub Pages site,"Deletes a GitHub Pages site. For more information, see ""[About GitHub Pages](/github/working-with-github-pages/about-github-pages). To use this endpoint, you must be a repository administrator, maintainer, or have the 'manage GitHub Pages settings' permission. A token with the `repo` scope or Pages write permission is required. GitHub Apps must have the `administration:write` and `pages:write` permissions.",x,high,a deletes pages site no restore,buildset-2026-09-18
b0054,github,DELETE,/enterprises/{enterprise}/actions/runners/{runner_id}/labels,enterprise-admin/remove-all-custom-labels-from-self-hosted-runner-for-enterprise,Remove all custom labels from a self-hosted runner for an enterprise,Remove all custom labels from a self-hosted runner configured in an enterprise. Returns the remaining read-only labels from the runner. You must authenticate using an access token with the `manage_runners:enterprise` scope to use this endpoint.,x,high,DELETE method wins no restore named,buildset-2026-09-18
b0055,github,POST,/repos/{owner}/{repo}/actions/runs/{run_id}/rerun-failed-jobs,actions/re-run-workflow-failed-jobs,Re-run failed jobs from a workflow run,Re-run all of the failed jobs and their dependent jobs in a workflow run using the `id` of the workflow run. You must authenticate using an access token with the `repo` scope to use this endpoint.,x,high,e re run failed jobs,buildset-2026-09-18
b0056,github,DELETE,/user/codespaces/secrets/{secret_name}/repositories/{repository_id},codespaces/remove-repository-for-secret-for-authenticated-user,Remove a selected repository from a user secret,Removes a repository from the selected repositories for a user's codespace secret. You must authenticate using an access token with the `codespace` or `codespace:secrets` scope to use this endpoint. User must have Codespaces access to use this endpoint. GitHub Apps must have write access to the `codespaces_user_secrets` user permission to use this endpoint.,x,high,delete method wins removes repo,buildset-2026-09-18
b0057,github,PUT,/orgs/{org}/actions/required_workflows/{required_workflow_id}/repositories,actions/set-selected-repos-to-required-workflow,Sets repositories for a required workflow,"Sets the repositories for a required workflow that is required for selected repositories. You must authenticate using an access token with the `admin:org` scope to use this endpoint. For more information, see ""[Required Workflows](https://docs.github.com/actions/using-workflows/required-workflows).""",w,high,put default w sets repositories list,buildset-2026-09-18
b0058,github,POST,/repos/{owner}/{repo}/actions/runs/{run_id}/approve,actions/approve-workflow-run,Approve a workflow run for a fork pull request,"Approves a workflow run for a pull request from a public fork of a first time contributor. For more information, see [""Approving workflow runs from public forks](https://docs.github.com/actions/managing-workflow-runs/approving-workflow-runs-from-public-forks)."" You must authenticate using an access token with the `repo` scope to use this endpoint. GitHub Apps must have the `actions:write` permission to use this endpoint.",x,high,e triggers workflow run execution,buildset-2026-09-18
b0059,github,DELETE,/projects/columns/cards/{card_id},projects/delete-card,Delete a project card,,x,high,a deletes card no restore,buildset-2026-09-18
b0060,github,PUT,/enterprises/{enterprise}/actions/runners/{runner_id}/labels,enterprise-admin/set-custom-labels-for-self-hosted-runner-for-enterprise,Set custom labels for a self-hosted runner for an enterprise,Remove all previous custom labels and set the new custom labels for a specific self-hosted runner configured in an enterprise. You must authenticate using an access token with the `manage_runners:enterprise` scope to use this endpoint.,w,high,PUT default sets labels,buildset-2026-09-18
b0061,github,DELETE,/user/emails,users/delete-email-for-authenticated-user,Delete an email address for the authenticated user,This endpoint is accessible with the `user` scope.,x,high,delete method no trash,buildset-2026-09-18
b0062,github,DELETE,/orgs/{org}/actions/runners/{runner_id}/labels/{name},actions/remove-custom-label-from-self-hosted-runner-for-org,Remove a custom label from a self-hosted runner for an organization,Remove a custom label from a self-hosted runner configured in an organization. Returns the remaining labels from the runner. This endpoint returns a `404 Not Found` status if the custom label is not present on the runner. You must authenticate using an access token with the `admin:org` scope to use this endpoint.,x,high,DELETE removes label method wins x,buildset-2026-09-18
b0063,github,POST,/repos/{owner}/{repo}/pages/deployment,repos/create-pages-deployment,Create a GitHub Pages deployment,Create a GitHub Pages deployment for a repository. Users must have write permissions. GitHub Apps must have the `pages:write` permission to use this endpoint.,x,high,iv creates deployment that publishes,buildset-2026-09-18
b0064,github,PUT,/user/codespaces/secrets/{secret_name}/repositories,codespaces/set-repositories-for-secret-for-authenticated-user,Set selected repositories for a user secret,Select the repositories that will use a user's codespace secret. You must authenticate using an access token with the `codespace` or `codespace:secrets` scope to use this endpoint. User must have Codespaces access to use this endpoint. GitHub Apps must have write access to the `codespaces_user_secrets` user permission and write access to the `codespaces_secrets` repository permission on all referenced repositories to use this endpoint.,w,high,w sets repo list settable back,buildset-2026-09-18
b0065,github,POST,/orgs/{org}/actions/runners/registration-token,actions/create-registration-token-for-org,Create a registration token for an organization,"Returns a token that you can pass to the `config` script. The token expires after one hour. You must authenticate using an access token with the `admin:org` scope to use this endpoint. #### Example using registration token Configure your self-hosted runner, replacing `TOKEN` with the registration token provided by this endpoint. ``` ./config.sh --url https://github.com/octo-org --token TOKEN ```",w,high,ii plain create of token,buildset-2026-09-18
b0066,github,PATCH,/admin/organizations/{org},enterprise-admin/update-org-name,Update an organization name,,w,high,w edits org name,buildset-2026-09-18
b0067,github,PATCH,/repos/{owner}/{repo}/branches/{branch}/protection/required_status_checks,repos/update-status-check-protection,Update status check protection,"Protected branches are available in public repositories with GitHub Free and GitHub Free for organizations, and in public and private repositories with GitHub Pro, GitHub Team, GitHub Enterprise Cloud, and GitHub Enterprise Server. For more information, see [GitHub's products](https://docs.github.com/github/getting-started-with-github/githubs-products) in the GitHub Help documentation. Updating required status checks requires admin or owner permissions to the repository and branch protection to ",w,high,PATCH default edit protection,buildset-2026-09-18
b0068,github,PUT,/repos/{owner}/{repo}/branches/{branch}/protection,repos/update-branch-protection,Update branch protection,"Protected branches are available in public repositories with GitHub Free and GitHub Free for organizations, and in public and private repositories with GitHub Pro, GitHub Team, GitHub Enterprise Cloud, and GitHub Enterprise Server. For more information, see [GitHub's products](https://docs.github.com/github/getting-started-with-github/githubs-products) in the GitHub Help documentation. Protecting a branch requires admin or owner permissions to the repository. **Note**: Passing new arrays of `use",w,high,w edits branch protection settings,buildset-2026-09-18
b0069,github,PUT,/repos/{owner}/{repo}/branches/{branch}/protection/restrictions/teams,repos/set-team-access-restrictions,Set team access restrictions,"Protected branches are available in public repositories with GitHub Free and GitHub Free for organizations, and in public and private repositories with GitHub Pro, GitHub Team, GitHub Enterprise Cloud, and GitHub Enterprise Server. For more information, see [GitHub's products](https://docs.github.com/github/getting-started-with-github/githubs-products) in the GitHub Help documentation. Replaces the list of teams that have push access to this branch. This removes all teams that previously had pus",w,high,put default replaces list settable,buildset-2026-09-18
b0070,github,POST,/users/{username}/packages/{package_type}/{package_name}/restore,packages/restore-package-for-user,Restore a package for a user,"Restores an entire package for a user. You can restore a deleted package under the following conditions:   - The package was deleted within the last 30 days.   - The same package namespace and version is still available and not reused for a new package. If the same package namespace is not available, you will not be able to restore your package. In this scenario, to restore the deleted package, you must delete the new package that uses the deleted package's namespace first. To use this endpoint,",w,high,w restores package is settable write,buildset-2026-09-18
b0071,github,PATCH,/repositories/{repository_id}/environments/{environment_name}/variables/{name},actions/update-environment-variable,Update an environment variable,Updates an environment variable that you can reference in a GitHub Actions workflow. You must authenticate using an access token with the `repo` scope to use this endpoint. GitHub Apps must have the `environment:write` repository permission to use this endpoint.,w,high,PATCH default w,buildset-2026-09-18
b0072,github,DELETE,/user/packages/{package_type}/{package_name}/versions/{package_version_id},packages/delete-package-version-for-authenticated-user,Delete a package version for the authenticated user,"Deletes a specific package version for a package owned by the authenticated user.  If the package is public and the package version has more than 5,000 downloads, you cannot delete the package version. In this scenario, contact GitHub support for further assistance. To use this endpoint, you must have admin permissions in the organization and authenticate using an access token with the `read:packages` and `delete:packages` scopes. If the `package_type` belongs to a GitHub Packages registry that ",x,high,a deletes package version no restore,buildset-2026-09-18
b0073,github,DELETE,/reactions/{reaction_id},reactions/delete,Delete a reaction,"OAuth access tokens require the `write:discussion` [scope](https://docs.github.com/enterprise-server@2.18/apps/building-oauth-apps/understanding-scopes-for-oauth-apps/), when deleting a [team discussion](https://docs.github.com/enterprise-server@2.18/rest/reference/teams#discussions) or [team discussion comment](https://docs.github.com/enterprise-server@2.18/rest/reference/teams#discussion-comments).",x,high,a deletes reaction no restore,buildset-2026-09-18
b0074,github,POST,/teams/{team_id}/discussions/{discussion_number}/comments/{comment_number}/reactions,reactions/create-for-team-discussion-comment-legacy,Create reaction for a team discussion comment (Legacy),"**Deprecation Notice:** This endpoint route is deprecated and will be removed from the Teams API. We recommend migrating your existing code to use the new ""[Create reaction for a team discussion comment](https://docs.github.com/rest/reference/reactions#create-reaction-for-a-team-discussion-comment)"" endpoint. Create a reaction to a [team discussion comment](https://docs.github.com/rest/reference/teams#discussion-comments). OAuth access tokens require the `write:discussion` [scope](https://docs.g",w,high,ii plain create of reaction,buildset-2026-09-18
