row_id,provider,method,path,operationId,truth,confidence,predicted,step,rule,source,matched,verdict
e0034,okta,POST,/api/v1/apps/{appId}/connections/default/lifecycle/activate,activateDefaultProvisioningConnectionForApplication,w,high,w,2,modify-verb,list,activate,exact
e0035,okta,POST,/api/v1/apps/{appId}/connections/default/lifecycle/deactivate,deactivateDefaultProvisioningConnectionForApplication,w,high,w,2,modify-verb,list,deactivate,exact
e0036,okta,GET,/api/v1/apps/{appId}/credentials/csrs,listCsrsForApplication,r,high,r,1,method,floor,,exact
e0037,okta,POST,/api/v1/apps/{appId}/credentials/csrs,generateCsrForApplication,x,high,x,3,floor-post,floor,,exact
e0038,okta,GET,/api/v1/apps/{appId}/credentials/csrs/{csrId},getCsrForApplication,r,high,r,1,method,floor,,exact
e0039,okta,DELETE,/api/v1/apps/{appId}/credentials/csrs/{csrId},revokeCsrFromApplication,w,high,w,2,method-floor,floor,,exact
e0040,okta,POST,/api/v1/apps/{appId}/credentials/csrs/{csrId}/lifecycle/publish,publishCsrFromApplication,x,low,x,3,floor-post,floor,,exact
e0041,okta,GET,/api/v1/apps/{appId}/credentials/jwks,listJwk,r,high,r,1,method,floor,,exact
e0042,okta,POST,/api/v1/apps/{appId}/credentials/jwks,addJwk,x,high,x,3,floor-post,floor,,exact
e0043,okta,GET,/api/v1/apps/{appId}/credentials/jwks/{keyId},getJwk,r,high,r,1,method,floor,,exact
e0044,okta,DELETE,/api/v1/apps/{appId}/credentials/jwks/{keyId},deletejwk,w,high,w,2,method-floor,floor,,exact
e0045,okta,POST,/api/v1/apps/{appId}/credentials/jwks/{keyId}/lifecycle/activate,activateOAuth2ClientJsonWebKey,w,high,w,2,modify-verb,list,activate,exact
e0046,okta,POST,/api/v1/apps/{appId}/credentials/jwks/{keyId}/lifecycle/deactivate,deactivateOAuth2ClientJsonWebKey,w,low,w,2,modify-verb,list,deactivate,exact
e0047,okta,GET,/api/v1/apps/{appId}/credentials/keys,listApplicationKeys,r,high,r,1,method,floor,,exact
e0048,okta,POST,/api/v1/apps/{appId}/credentials/keys/generate,generateApplicationKey,x,high,x,3,floor-post,floor,,exact
e0049,okta,GET,/api/v1/apps/{appId}/credentials/keys/{keyId},getApplicationKey,r,high,r,1,method,floor,,exact
e0050,okta,POST,/api/v1/apps/{appId}/credentials/keys/{keyId}/clone,cloneApplicationKey,x,high,x,3,floor-post,floor,,exact
e0051,okta,GET,/api/v1/apps/{appId}/credentials/secrets,listOAuth2ClientSecrets,r,high,r,1,method,floor,,exact
e0052,okta,POST,/api/v1/apps/{appId}/credentials/secrets,createOAuth2ClientSecret,x,high,x,3,floor-post,floor,,exact
e0053,okta,GET,/api/v1/apps/{appId}/credentials/secrets/{secretId},getOAuth2ClientSecret,r,high,r,1,method,floor,,exact
e0054,okta,DELETE,/api/v1/apps/{appId}/credentials/secrets/{secretId},deleteOAuth2ClientSecret,w,high,w,2,method-floor,floor,,exact
e0055,okta,POST,/api/v1/apps/{appId}/credentials/secrets/{secretId}/lifecycle/activate,activateOAuth2ClientSecret,w,high,w,2,modify-verb,list,activate,exact
e0056,okta,POST,/api/v1/apps/{appId}/credentials/secrets/{secretId}/lifecycle/deactivate,deactivateOAuth2ClientSecret,w,low,w,2,modify-verb,list,deactivate,exact
e0057,okta,GET,/api/v1/apps/{appId}/cwo/connections,getAllCrossAppAccessConnections,r,high,r,1,method,floor,,exact
e0058,okta,POST,/api/v1/apps/{appId}/cwo/connections,createCrossAppAccessConnection,x,high,x,3,floor-post,floor,,exact
e0059,okta,GET,/api/v1/apps/{appId}/cwo/connections/{connectionId},getCrossAppAccessConnection,r,high,r,1,method,floor,,exact
e0060,okta,DELETE,/api/v1/apps/{appId}/cwo/connections/{connectionId},deleteCrossAppAccessConnection,w,high,w,2,method-floor,floor,,exact
e0061,okta,PATCH,/api/v1/apps/{appId}/cwo/connections/{connectionId},updateCrossAppAccessConnection,w,high,w,2,method-floor,floor,,exact
e0062,okta,GET,/api/v1/apps/{appId}/features,listFeaturesForApplication,r,high,r,1,method,floor,,exact
e0063,okta,GET,/api/v1/apps/{appId}/features/{featureName},getFeatureForApplication,r,high,r,1,method,floor,,exact
e0064,okta,PUT,/api/v1/apps/{appId}/features/{featureName},updateFeatureForApplication,w,high,w,2,method-floor,floor,,exact
e0065,okta,GET,/api/v1/apps/{appId}/federated-claims,listFederatedClaims,r,high,r,1,method,floor,,exact
e0066,okta,POST,/api/v1/apps/{appId}/federated-claims,createFederatedClaim,x,high,x,3,floor-post,floor,,exact
e0067,okta,GET,/api/v1/apps/{appId}/federated-claims/{claimId},getFederatedClaim,r,high,r,1,method,floor,,exact
e0068,okta,PUT,/api/v1/apps/{appId}/federated-claims/{claimId},replaceFederatedClaim,w,high,w,2,method-floor,floor,,exact
e0069,okta,DELETE,/api/v1/apps/{appId}/federated-claims/{claimId},deleteFederatedClaim,w,high,w,2,method-floor,floor,,exact
e0070,okta,GET,/api/v1/apps/{appId}/grants,listScopeConsentGrants,r,high,r,1,method,floor,,exact
e0071,okta,POST,/api/v1/apps/{appId}/grants,grantConsentToScope,x,high,x,3,floor-post,floor,,exact
e0072,okta,GET,/api/v1/apps/{appId}/grants/{grantId},getScopeConsentGrant,r,high,r,1,method,floor,,exact
e0073,okta,DELETE,/api/v1/apps/{appId}/grants/{grantId},revokeScopeConsentGrant,x,high,x,3,raise-word,list,grant,exact
e0074,okta,GET,/api/v1/apps/{appId}/group-push/mappings,listGroupPushMappings,r,high,r,1,method,floor,,exact
e0075,okta,POST,/api/v1/apps/{appId}/group-push/mappings,createGroupPushMapping,x,high,x,3,floor-post,floor,,exact
e0076,okta,GET,/api/v1/apps/{appId}/group-push/mappings/{mappingId},getGroupPushMapping,r,high,r,1,method,floor,,exact
e0077,okta,DELETE,/api/v1/apps/{appId}/group-push/mappings/{mappingId},deleteGroupPushMapping,w,high,w,2,method-floor,floor,,exact
e0078,okta,PATCH,/api/v1/apps/{appId}/group-push/mappings/{mappingId},updateGroupPushMapping,w,low,w,2,method-floor,floor,,exact
e0079,okta,GET,/api/v1/apps/{appId}/groups,listApplicationGroupAssignments,r,high,r,1,method,floor,,exact
e0080,okta,GET,/api/v1/apps/{appId}/groups/{groupId},getApplicationGroupAssignment,r,high,r,1,method,floor,,exact
e0081,okta,PUT,/api/v1/apps/{appId}/groups/{groupId},assignGroupToApplication,x,high,w,2,method-floor,floor,,leak
e0082,okta,DELETE,/api/v1/apps/{appId}/groups/{groupId},unassignApplicationFromGroup,x,high,w,2,method-floor,floor,,leak
e0083,okta,PATCH,/api/v1/apps/{appId}/groups/{groupId},updateGroupAssignmentToApplication,x,low,w,2,method-floor,floor,,leak
e0084,okta,GET,/api/v1/apps/{appId}/interclient-allowed-apps,listInterclientAllowedApplications,r,high,r,1,method,floor,,exact
e0085,okta,POST,/api/v1/apps/{appId}/interclient-allowed-apps,createInterclientTrustMapping,x,high,x,3,floor-post,floor,,exact
e0086,okta,DELETE,/api/v1/apps/{appId}/interclient-allowed-apps/{allowedAppId},deleteInterclientTrustMapping,w,low,w,2,method-floor,floor,,exact
e0087,okta,GET,/api/v1/apps/{appId}/interclient-target-apps,listInterclientTargetApplications,r,high,r,1,method,floor,,exact
e0088,okta,POST,/api/v1/apps/{appId}/lifecycle/activate,activateApplication,w,high,w,2,modify-verb,list,activate,exact
e0089,okta,POST,/api/v1/apps/{appId}/lifecycle/deactivate,deactivateApplication,x,high,w,2,modify-verb,list,deactivate,leak
e0090,okta,POST,/api/v1/apps/{appId}/logo,uploadApplicationLogo,w,low,x,3,floor-post,floor,,over-tight
e0091,okta,PUT,/api/v1/apps/{appId}/policies/{policyId},assignApplicationPolicy,x,high,w,2,method-floor,floor,,leak
e0092,okta,GET,/api/v1/apps/{appId}/sso/saml/metadata,previewSAMLmetadataForApplication,r,high,r,1,method,floor,,exact
e0093,okta,GET,/api/v1/apps/{appId}/tokens,listOAuth2TokensForApplication,r,high,r,1,method,floor,,exact
e0094,okta,DELETE,/api/v1/apps/{appId}/tokens,revokeOAuth2TokensForApplication,x,high,w,2,method-floor,floor,,leak
e0095,okta,GET,/api/v1/apps/{appId}/tokens/{tokenId},getOAuth2TokenForApplication,r,high,r,1,method,floor,,exact
e0096,okta,DELETE,/api/v1/apps/{appId}/tokens/{tokenId},revokeOAuth2TokenForApplication,x,low,w,2,method-floor,floor,,leak
e0097,okta,GET,/api/v1/apps/{appId}/users,listApplicationUsers,r,high,r,1,method,floor,,exact
e0098,okta,POST,/api/v1/apps/{appId}/users,assignUserToApplication,x,high,x,3,floor-post,floor,,exact
e0099,okta,GET,/api/v1/apps/{appId}/users/{userId},getApplicationUser,r,high,r,1,method,floor,,exact
e0100,okta,POST,/api/v1/apps/{appId}/users/{userId},updateApplicationUser,x,high,x,3,floor-post,floor,,exact
e0101,okta,DELETE,/api/v1/apps/{appId}/users/{userId},unassignUserFromApplication,x,high,w,2,method-floor,floor,,leak
e0102,okta,POST,/api/v1/apps/{appName}/{appId}/oauth2/callback,verifyProvisioningConnectionForApplication,x,low,x,3,floor-post,floor,,exact
e0103,okta,GET,/api/v1/authenticators,listAuthenticators,r,high,r,1,method,floor,,exact
e0104,okta,POST,/api/v1/authenticators,createAuthenticator,x,high,x,3,floor-post,floor,,exact
e0105,okta,GET,/api/v1/authenticators/{authenticatorId},getAuthenticator,r,high,r,1,method,floor,,exact
e0106,okta,PUT,/api/v1/authenticators/{authenticatorId},replaceAuthenticator,w,high,w,2,method-floor,floor,,exact
e0107,okta,GET,/api/v1/authenticators/{authenticatorId}/aaguids,listAllCustomAAGUIDs,r,high,r,1,method,floor,,exact
e0108,okta,POST,/api/v1/authenticators/{authenticatorId}/aaguids,createCustomAAGUID,x,high,x,3,floor-post,floor,,exact
e0109,okta,GET,/api/v1/authenticators/{authenticatorId}/aaguids/{aaguid},getCustomAAGUID,r,high,r,1,method,floor,,exact
e0110,okta,PUT,/api/v1/authenticators/{authenticatorId}/aaguids/{aaguid},replaceCustomAAGUID,w,high,w,2,method-floor,floor,,exact
e0111,okta,DELETE,/api/v1/authenticators/{authenticatorId}/aaguids/{aaguid},deleteCustomAAGUID,w,high,w,2,method-floor,floor,,exact
e0112,okta,PATCH,/api/v1/authenticators/{authenticatorId}/aaguids/{aaguid},updateCustomAAGUID,w,high,w,2,method-floor,floor,,exact
e0113,okta,POST,/api/v1/authenticators/{authenticatorId}/lifecycle/activate,activateAuthenticator,w,low,w,2,modify-verb,list,activate,exact
e0114,okta,POST,/api/v1/authenticators/{authenticatorId}/lifecycle/deactivate,deactivateAuthenticator,w,high,w,2,modify-verb,list,deactivate,exact
e0115,okta,GET,/api/v1/authenticators/{authenticatorId}/methods,listAuthenticatorMethods,r,high,r,1,method,floor,,exact
e0116,okta,GET,/api/v1/authenticators/{authenticatorId}/methods/{methodType},getAuthenticatorMethod,r,high,r,1,method,floor,,exact
e0117,okta,PUT,/api/v1/authenticators/{authenticatorId}/methods/{methodType},replaceAuthenticatorMethod,w,high,w,2,method-floor,floor,,exact
e0118,okta,POST,/api/v1/authenticators/{authenticatorId}/methods/{methodType}/lifecycle/activate,activateAuthenticatorMethod,w,low,w,2,modify-verb,list,activate,exact
e0119,okta,POST,/api/v1/authenticators/{authenticatorId}/methods/{methodType}/lifecycle/deactivate,deactivateAuthenticatorMethod,w,low,w,2,modify-verb,list,deactivate,exact
e0120,okta,POST,/api/v1/authenticators/{authenticatorId}/methods/{webAuthnMethodType}/verify-rp-id-domain,verifyRpIdDomain,r,low,x,3,floor-post,floor,,over-tight
e0121,okta,GET,/api/v1/authorizationServers,listAuthorizationServers,r,high,r,1,method,floor,,exact
e0122,okta,POST,/api/v1/authorizationServers,createAuthorizationServer,x,high,x,3,floor-post,floor,,exact
e0123,okta,GET,/api/v1/authorizationServers/{authServerId},getAuthorizationServer,r,high,r,1,method,floor,,exact
e0124,okta,PUT,/api/v1/authorizationServers/{authServerId},replaceAuthorizationServer,w,high,w,2,method-floor,floor,,exact
e0125,okta,DELETE,/api/v1/authorizationServers/{authServerId},deleteAuthorizationServer,w,high,w,2,method-floor,floor,,exact
e0126,okta,GET,/api/v1/authorizationServers/{authServerId}/associatedServers,listAssociatedServersByTrustedType,r,high,r,1,method,floor,,exact
e0127,okta,POST,/api/v1/authorizationServers/{authServerId}/associatedServers,createAssociatedServers,x,high,x,3,floor-post,floor,,exact
e0128,okta,DELETE,/api/v1/authorizationServers/{authServerId}/associatedServers/{associatedServerId},deleteAssociatedServer,w,high,w,2,method-floor,floor,,exact
e0129,okta,GET,/api/v1/authorizationServers/{authServerId}/claims,listOAuth2Claims,r,high,r,1,method,floor,,exact
e0130,okta,POST,/api/v1/authorizationServers/{authServerId}/claims,createOAuth2Claim,x,high,x,3,floor-post,floor,,exact
e0131,okta,GET,/api/v1/authorizationServers/{authServerId}/claims/{claimId},getOAuth2Claim,r,high,r,1,method,floor,,exact
e0132,okta,PUT,/api/v1/authorizationServers/{authServerId}/claims/{claimId},replaceOAuth2Claim,w,high,w,2,method-floor,floor,,exact
e0133,okta,DELETE,/api/v1/authorizationServers/{authServerId}/claims/{claimId},deleteOAuth2Claim,w,high,w,2,method-floor,floor,,exact
e0134,okta,GET,/api/v1/authorizationServers/{authServerId}/clients,listOAuth2ClientsForAuthorizationServer,r,high,r,1,method,floor,,exact
e0135,okta,GET,/api/v1/authorizationServers/{authServerId}/clients/{clientId}/tokens,listRefreshTokensForAuthorizationServerAndClient,r,high,r,1,method,floor,,exact
e0136,okta,DELETE,/api/v1/authorizationServers/{authServerId}/clients/{clientId}/tokens,revokeRefreshTokensForAuthorizationServerAndClient,x,high,w,2,method-floor,floor,,leak
e0137,okta,GET,/api/v1/authorizationServers/{authServerId}/clients/{clientId}/tokens/{tokenId},getRefreshTokenForAuthorizationServerAndClient,r,high,r,1,method,floor,,exact
e0138,okta,DELETE,/api/v1/authorizationServers/{authServerId}/clients/{clientId}/tokens/{tokenId},revokeRefreshTokenForAuthorizationServerAndClient,x,high,w,2,method-floor,floor,,leak
e0139,okta,GET,/api/v1/authorizationServers/{authServerId}/credentials/keys,listAuthorizationServerKeys,r,high,r,1,method,floor,,exact
e0140,okta,GET,/api/v1/authorizationServers/{authServerId}/credentials/keys/{keyId},getAuthorizationServerKey,r,high,r,1,method,floor,,exact
e0141,okta,POST,/api/v1/authorizationServers/{authServerId}/credentials/lifecycle/keyRotate,rotateAuthorizationServerKeys,w,high,w,2,modify-verb,list,rotate,exact
e0142,okta,POST,/api/v1/authorizationServers/{authServerId}/lifecycle/activate,activateAuthorizationServer,w,high,w,2,modify-verb,list,activate,exact
e0143,okta,POST,/api/v1/authorizationServers/{authServerId}/lifecycle/deactivate,deactivateAuthorizationServer,w,high,w,2,modify-verb,list,deactivate,exact
e0144,okta,GET,/api/v1/authorizationServers/{authServerId}/policies,listAuthorizationServerPolicies,r,high,r,1,method,floor,,exact
e0145,okta,POST,/api/v1/authorizationServers/{authServerId}/policies,createAuthorizationServerPolicy,x,high,x,3,floor-post,floor,,exact
e0146,okta,GET,/api/v1/authorizationServers/{authServerId}/policies/{policyId},getAuthorizationServerPolicy,r,high,r,1,method,floor,,exact
e0147,okta,PUT,/api/v1/authorizationServers/{authServerId}/policies/{policyId},replaceAuthorizationServerPolicy,x,low,w,2,method-floor,floor,,leak
e0148,okta,DELETE,/api/v1/authorizationServers/{authServerId}/policies/{policyId},deleteAuthorizationServerPolicy,w,low,w,2,method-floor,floor,,exact
e0149,okta,POST,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/lifecycle/activate,activateAuthorizationServerPolicy,w,low,w,2,modify-verb,list,activate,exact
e0150,okta,POST,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/lifecycle/deactivate,deactivateAuthorizationServerPolicy,w,low,w,2,modify-verb,list,deactivate,exact
e0151,okta,GET,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/rules,listAuthorizationServerPolicyRules,r,high,r,1,method,floor,,exact
e0152,okta,POST,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/rules,createAuthorizationServerPolicyRule,x,high,x,3,floor-post,floor,,exact
e0153,okta,GET,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/rules/{ruleId},getAuthorizationServerPolicyRule,r,high,r,1,method,floor,,exact
e0154,okta,PUT,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/rules/{ruleId},replaceAuthorizationServerPolicyRule,w,high,w,2,method-floor,floor,,exact
e0155,okta,DELETE,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/rules/{ruleId},deleteAuthorizationServerPolicyRule,w,high,w,2,method-floor,floor,,exact
e0156,okta,POST,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/rules/{ruleId}/lifecycle/activate,activateAuthorizationServerPolicyRule,w,low,w,2,modify-verb,list,activate,exact
e0157,okta,POST,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/rules/{ruleId}/lifecycle/deactivate,deactivateAuthorizationServerPolicyRule,w,high,w,2,modify-verb,list,deactivate,exact
e0158,okta,GET,/api/v1/authorizationServers/{authServerId}/resourceservercredentials/keys,listOAuth2ResourceServerJsonWebKeys,r,high,r,1,method,floor,,exact
e0159,okta,POST,/api/v1/authorizationServers/{authServerId}/resourceservercredentials/keys,addOAuth2ResourceServerJsonWebKey,x,high,x,3,floor-post,floor,,exact
e0160,okta,GET,/api/v1/authorizationServers/{authServerId}/resourceservercredentials/keys/{keyId},getOAuth2ResourceServerJsonWebKey,r,high,r,1,method,floor,,exact
e0161,okta,DELETE,/api/v1/authorizationServers/{authServerId}/resourceservercredentials/keys/{keyId},deleteOAuth2ResourceServerJsonWebKey,w,high,w,2,method-floor,floor,,exact
e0162,okta,POST,/api/v1/authorizationServers/{authServerId}/resourceservercredentials/keys/{keyId}/lifecycle/activate,activateOAuth2ResourceServerJsonWebKey,w,high,w,2,modify-verb,list,activate,exact
e0163,okta,POST,/api/v1/authorizationServers/{authServerId}/resourceservercredentials/keys/{keyId}/lifecycle/deactivate,deactivateOAuth2ResourceServerJsonWebKey,w,high,w,2,modify-verb,list,deactivate,exact
e0164,okta,GET,/api/v1/authorizationServers/{authServerId}/scopes,listOAuth2Scopes,r,high,r,1,method,floor,,exact
e0165,okta,POST,/api/v1/authorizationServers/{authServerId}/scopes,createOAuth2Scope,x,high,x,3,floor-post,floor,,exact
e0166,okta,GET,/api/v1/authorizationServers/{authServerId}/scopes/{scopeId},getOAuth2Scope,r,high,r,1,method,floor,,exact
e0167,okta,PUT,/api/v1/authorizationServers/{authServerId}/scopes/{scopeId},replaceOAuth2Scope,w,low,w,2,method-floor,floor,,exact
e0168,okta,DELETE,/api/v1/authorizationServers/{authServerId}/scopes/{scopeId},deleteOAuth2Scope,w,low,w,2,method-floor,floor,,exact
e0169,okta,GET,/api/v1/behaviors,listBehaviorDetectionRules,r,high,r,1,method,floor,,exact
e0170,okta,POST,/api/v1/behaviors,createBehaviorDetectionRule,x,high,x,3,floor-post,floor,,exact
e0171,okta,GET,/api/v1/behaviors/{behaviorId},getBehaviorDetectionRule,r,high,r,1,method,floor,,exact
e0172,okta,PUT,/api/v1/behaviors/{behaviorId},replaceBehaviorDetectionRule,w,high,w,2,method-floor,floor,,exact
e0173,okta,DELETE,/api/v1/behaviors/{behaviorId},deleteBehaviorDetectionRule,w,high,w,2,method-floor,floor,,exact
e0174,okta,POST,/api/v1/behaviors/{behaviorId}/lifecycle/activate,activateBehaviorDetectionRule,w,high,w,2,modify-verb,list,activate,exact
e0175,okta,POST,/api/v1/behaviors/{behaviorId}/lifecycle/deactivate,deactivateBehaviorDetectionRule,w,high,w,2,modify-verb,list,deactivate,exact
e0176,okta,GET,/api/v1/bot-protection/configuration,getBotProtectionConfiguration,r,high,r,1,method,floor,,exact
e0177,okta,POST,/api/v1/bot-protection/configuration,updateBotProtectionConfiguration,w,high,w,2,modify-verb,list,update,exact
e0178,okta,GET,/api/v1/brands,listBrands,r,high,r,1,method,floor,,exact
e0179,okta,POST,/api/v1/brands,createBrand,x,high,x,3,floor-post,floor,,exact
e0180,okta,GET,/api/v1/brands/{brandId},getBrand,r,high,r,1,method,floor,,exact
e0181,okta,PUT,/api/v1/brands/{brandId},replaceBrand,w,high,w,2,method-floor,floor,,exact
e0182,okta,DELETE,/api/v1/brands/{brandId},deleteBrand,w,high,w,2,method-floor,floor,,exact
e0183,okta,GET,/api/v1/brands/{brandId}/domains,listBrandDomains,r,high,r,1,method,floor,,exact
e0184,okta,GET,/api/v1/brands/{brandId}/pages/error,getErrorPage,r,high,r,1,method,floor,,exact
e0185,okta,GET,/api/v1/brands/{brandId}/pages/error/customized,getCustomizedErrorPage,r,high,r,1,method,floor,,exact
e0186,okta,PUT,/api/v1/brands/{brandId}/pages/error/customized,replaceCustomizedErrorPage,w,low,w,2,method-floor,floor,,exact
e0187,okta,DELETE,/api/v1/brands/{brandId}/pages/error/customized,deleteCustomizedErrorPage,w,high,w,2,method-floor,floor,,exact
e0188,okta,GET,/api/v1/brands/{brandId}/pages/error/default,getDefaultErrorPage,r,high,r,1,method,floor,,exact
e0189,okta,GET,/api/v1/brands/{brandId}/pages/error/preview,getPreviewErrorPage,r,high,r,1,method,floor,,exact
e0190,okta,PUT,/api/v1/brands/{brandId}/pages/error/preview,replacePreviewErrorPage,w,high,w,2,method-floor,floor,,exact
e0191,okta,DELETE,/api/v1/brands/{brandId}/pages/error/preview,deletePreviewErrorPage,w,high,w,2,method-floor,floor,,exact
e0192,okta,GET,/api/v1/brands/{brandId}/pages/sign-in,getSignInPage,r,high,r,1,method,floor,,exact
e0193,okta,GET,/api/v1/brands/{brandId}/pages/sign-in/customized,getCustomizedSignInPage,r,high,r,1,method,floor,,exact
e0194,okta,PUT,/api/v1/brands/{brandId}/pages/sign-in/customized,replaceCustomizedSignInPage,w,low,w,2,method-floor,floor,,exact
e0195,okta,DELETE,/api/v1/brands/{brandId}/pages/sign-in/customized,deleteCustomizedSignInPage,w,high,w,2,method-floor,floor,,exact
e0196,okta,GET,/api/v1/brands/{brandId}/pages/sign-in/default,getDefaultSignInPage,r,high,r,1,method,floor,,exact
e0197,okta,GET,/api/v1/brands/{brandId}/pages/sign-in/preview,getPreviewSignInPage,r,high,r,1,method,floor,,exact
e0198,okta,PUT,/api/v1/brands/{brandId}/pages/sign-in/preview,replacePreviewSignInPage,w,high,w,2,method-floor,floor,,exact
e0199,okta,DELETE,/api/v1/brands/{brandId}/pages/sign-in/preview,deletePreviewSignInPage,w,high,w,2,method-floor,floor,,exact
e0200,okta,GET,/api/v1/brands/{brandId}/pages/sign-in/widget-versions,listAllSignInWidgetVersions,r,high,r,1,method,floor,,exact
e0201,okta,GET,/api/v1/brands/{brandId}/pages/sign-out/customized,getSignOutPageSettings,r,high,r,1,method,floor,,exact
e0202,okta,PUT,/api/v1/brands/{brandId}/pages/sign-out/customized,replaceSignOutPageSettings,w,high,w,2,method-floor,floor,,exact
e0203,okta,GET,/api/v1/brands/{brandId}/templates/email,listEmailTemplates,r,high,r,1,method,floor,,exact
e0204,okta,GET,/api/v1/brands/{brandId}/templates/email/{templateName},getEmailTemplate,r,high,r,1,method,floor,,exact
e0205,okta,GET,/api/v1/brands/{brandId}/templates/email/{templateName}/customizations,listEmailCustomizations,r,high,r,1,method,floor,,exact
e0206,okta,POST,/api/v1/brands/{brandId}/templates/email/{templateName}/customizations,createEmailCustomization,x,high,x,3,floor-post,floor,,exact
e0207,okta,DELETE,/api/v1/brands/{brandId}/templates/email/{templateName}/customizations,deleteAllCustomizations,w,high,w,2,method-floor,floor,,exact
