repo,file,version,sha,path,method,operationId,default_class,judged_class,reason
BlockchainPublicAddress,blockchain-public-address.yaml,wip,80047ebce94687f159ed8912a2876321d1564c6a,/blockchain-public-addresses/{id},DELETE,deleteBlockchainPublicAddress,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
CallForwardingSignal,call-forwarding-signal.yaml,wip,a0dd21d76645d663d1cb7c0138dc8aed77530dc0,/unconditional-call-forwardings,POST,retrieveUnconditionalCallForwarding,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
CallForwardingSignal,call-forwarding-signal.yaml,wip,a0dd21d76645d663d1cb7c0138dc8aed77530dc0,/call-forwardings,POST,retrieveCallForwarding,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
CapabilitiesAndRuntimeRestrictions,capabilities-and-restrictions.yaml,wip,9f8aa9b5d31a7689a8ae4ea850df7d3d7a0cba64,/retrieve,POST,postServiceCapability,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
CarrierBillingCheckOut,carrier-billing-refund.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/{paymentId}/refunds,POST,createRefund,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
CarrierBillingCheckOut,carrier-billing-refund.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/{paymentId}/refunds,GET,retrieveRefunds,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
CarrierBillingCheckOut,carrier-billing-refund.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/{paymentId}/refunds/{refundId},GET,retrieveRefund,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
CarrierBillingCheckOut,carrier-billing-refund.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/{paymentId}/refunds/remaining-amount,GET,retrievePaymentRemainingAmount,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
CarrierBillingCheckOut,carrier-billing.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments,POST,createPayment,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
CarrierBillingCheckOut,carrier-billing.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments,GET,retrievePayments,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
CarrierBillingCheckOut,carrier-billing.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/{paymentId},GET,retrievePayment,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
CarrierBillingCheckOut,carrier-billing.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/prepare,POST,preparePayment,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
CarrierBillingCheckOut,carrier-billing.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/{paymentId}/validate,POST,validatePayment,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
CarrierBillingCheckOut,carrier-billing.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/{paymentId}/confirm,POST,confirmPayment,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
CarrierBillingCheckOut,carrier-billing.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/{paymentId}/cancel,POST,cancelPayment,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
ClickToDial,click-to-dial.yaml,wip,39f6bf61a871ee8fa10c901eca7fe37a945d6b3f,/calls,POST,createCall,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
ClickToDial,click-to-dial.yaml,wip,39f6bf61a871ee8fa10c901eca7fe37a945d6b3f,/calls/{callId},GET,getCall,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
ClickToDial,click-to-dial.yaml,wip,39f6bf61a871ee8fa10c901eca7fe37a945d6b3f,/calls/{callId},DELETE,terminateCall,w,x,"DELETE ends an ACTIVE, live telephony call session in real time for another party (the callee) — consequential and hard-to-reverse (a hung-up call cannot be un-hung-up); default per method is w (idempotent), but the true effect is an x-class live network/telephony action, not mere resource bookkeeping."
ClickToDial,click-to-dial.yaml,wip,39f6bf61a871ee8fa10c901eca7fe37a945d6b3f,/calls/{callId}/recording,GET,getRecording,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
ConnectedNetworkType,connected-network-type-subscriptions.yaml,wip,a60d6ad12f71232ff04fa0dd00f7035fc8b4723a,/subscriptions,POST,createConnectedNetworkTypeSubscription,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
ConnectedNetworkType,connected-network-type-subscriptions.yaml,wip,a60d6ad12f71232ff04fa0dd00f7035fc8b4723a,/subscriptions,GET,retrieveConnectedNetworkTypeSubscriptionList,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
ConnectedNetworkType,connected-network-type-subscriptions.yaml,wip,a60d6ad12f71232ff04fa0dd00f7035fc8b4723a,/subscriptions/{subscriptionId},GET,retrieveConnectedNetworkTypeSubscription,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
ConnectedNetworkType,connected-network-type-subscriptions.yaml,wip,a60d6ad12f71232ff04fa0dd00f7035fc8b4723a,/subscriptions/{subscriptionId},DELETE,deleteConnectedNetworkTypeSubscription,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
ConnectedNetworkType,connected-network-type.yaml,wip,a60d6ad12f71232ff04fa0dd00f7035fc8b4723a,/retrieve,POST,getConnectedNetworkType,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
ConnectivityInsights,connectivity-insights-subscriptions.yaml,wip,fe98a77b9b46aa27e2b736b353216e36b10b813a,/subscriptions,POST,createSubscription,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
ConnectivityInsights,connectivity-insights-subscriptions.yaml,wip,fe98a77b9b46aa27e2b736b353216e36b10b813a,/subscriptions,GET,getSubscriptionList,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
ConnectivityInsights,connectivity-insights-subscriptions.yaml,wip,fe98a77b9b46aa27e2b736b353216e36b10b813a,/subscriptions/{subscriptionId},GET,getSubscription,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
ConnectivityInsights,connectivity-insights-subscriptions.yaml,wip,fe98a77b9b46aa27e2b736b353216e36b10b813a,/subscriptions/{subscriptionId},DELETE,deleteSubscription,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
ConnectivityInsights,connectivity-insights.yaml,wip,fe98a77b9b46aa27e2b736b353216e36b10b813a,/check-network-quality,POST,checkNetworkQuality,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
ConsentInfo,consent-info.yaml,wip,44e4977abc6959b5270c19f8cbdfa3fb9516dbb4,/retrieve,POST,retrieveStatus,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
ConsentManagement,consent-management.yaml,wip,a6c00c843d78d053dc935eb94330094dede9c49c,/consents,POST,createConsent,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
ConsentManagement,consent-management.yaml,wip,a6c00c843d78d053dc935eb94330094dede9c49c,/consents/{consentId},PATCH,updateConsent,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
ConsentManagement,consent-management.yaml,wip,a6c00c843d78d053dc935eb94330094dede9c49c,/consents/retrieve-info,POST,retrieveConsentInfo,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
CustomerInsights,customer-insights.yaml,wip,8844b2467caf919c8f342fc1cf5caeb7e4ae8998,/scoring/retrieve,POST,retrieveScoring,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DedicatedNetworks,dedicated-network-accesses.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/accesses,GET,listAccesses,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DedicatedNetworks,dedicated-network-accesses.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/accesses,POST,createAccess,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DedicatedNetworks,dedicated-network-accesses.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/accesses/{accessId},GET,readAccess,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DedicatedNetworks,dedicated-network-accesses.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/accesses/{accessId},DELETE,deleteAccess,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
DedicatedNetworks,dedicated-network-accesses.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/accesses/{accessId}/devices,GET,listDevices,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DedicatedNetworks,dedicated-network-accesses.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/accesses/{accessId}/devices/add,POST,addDevicesToAccess,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DedicatedNetworks,dedicated-network-accesses.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/accesses/{accessId}/devices/remove,POST,removeDevicesFromAccess,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DedicatedNetworks,dedicated-network-areas.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/retrieve-service-areas,POST,retrieveNetworkServiceAreas,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DedicatedNetworks,dedicated-network-areas.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/areas/{areaId},GET,readNetworkServiceArea,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DedicatedNetworks,dedicated-network-profiles.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/profiles,GET,readNetworkProfiles,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DedicatedNetworks,dedicated-network-profiles.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/profiles/{profileId},GET,readNetworkProfile,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DedicatedNetworks,dedicated-network.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/networks,GET,listNetworks,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DedicatedNetworks,dedicated-network.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/networks,POST,createNetwork,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DedicatedNetworks,dedicated-network.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/networks/{networkId},GET,readNetwork,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DedicatedNetworks,dedicated-network.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/networks/{networkId},DELETE,deleteNetwork,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
DeviceAuthenticity,device-authenticity.yaml,wip,55dec08855452361c9730c4b234246ebfa473d28,/check-status,POST,checkImeiStatus,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceDataVolume,device-data-volume-subscriptions.yaml,wip,71bfba2e8168fb5f6460bce5fc176de9b4c8f3de,/subscriptions,POST,createDeviceDataVolumeSubscription,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceDataVolume,device-data-volume-subscriptions.yaml,wip,71bfba2e8168fb5f6460bce5fc176de9b4c8f3de,/subscriptions,GET,retrieveDeviceDataVolumeSubscriptionList,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DeviceDataVolume,device-data-volume-subscriptions.yaml,wip,71bfba2e8168fb5f6460bce5fc176de9b4c8f3de,/subscriptions/{subscriptionId},GET,retrieveDeviceDataVolumeSubscription,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DeviceDataVolume,device-data-volume-subscriptions.yaml,wip,71bfba2e8168fb5f6460bce5fc176de9b4c8f3de,/subscriptions/{subscriptionId},DELETE,deleteDeviceDataVolumeSubscription,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
DeviceDataVolume,device-data-volume.yaml,wip,71bfba2e8168fb5f6460bce5fc176de9b4c8f3de,/retrieve,POST,retrieveDataVolume,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceDataVolume,device-data-volume.yaml,wip,71bfba2e8168fb5f6460bce5fc176de9b4c8f3de,/check,POST,checkDataVolume,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceIdentifier,device-identifier.yaml,wip,5dcccd77e4b47b20aaf42b7e54affbf860f40c46,/retrieve-identifier,POST,retrieveIdentifier,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceIdentifier,device-identifier.yaml,wip,5dcccd77e4b47b20aaf42b7e54affbf860f40c46,/retrieve-type,POST,retrieveType,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceIdentifier,device-identifier.yaml,wip,5dcccd77e4b47b20aaf42b7e54affbf860f40c46,/retrieve-ppid,POST,retrievePpid,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceIdentifier,device-identifier.yaml,wip,5dcccd77e4b47b20aaf42b7e54affbf860f40c46,/match-identifier,POST,matchIdentifier,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceLocation,geofencing-subscriptions.yaml,wip,baf86c823cb723e866c7348459999aea83f999ce,/subscriptions,POST,createGeofencingSubscription,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceLocation,geofencing-subscriptions.yaml,wip,baf86c823cb723e866c7348459999aea83f999ce,/subscriptions,GET,retrieveGeofencingSubscriptionList,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DeviceLocation,geofencing-subscriptions.yaml,wip,baf86c823cb723e866c7348459999aea83f999ce,/subscriptions/{subscriptionId},GET,retrieveGeofencingSubscription,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DeviceLocation,geofencing-subscriptions.yaml,wip,baf86c823cb723e866c7348459999aea83f999ce,/subscriptions/{subscriptionId},DELETE,deleteGeofencingSubscription,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
DeviceLocation,location-retrieval.yaml,wip,baf86c823cb723e866c7348459999aea83f999ce,/retrieve,POST,retrieveLocation,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceLocation,location-verification.yaml,wip,baf86c823cb723e866c7348459999aea83f999ce,/verify,POST,verifyLocation,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceMediaStreamingRate,media-streaming-rate.yaml,wip,2750190dd69dc65d059e04b0e97807f07e5d78d3,/retrieve-maximum-downstream-media-rate,POST,retrieveMaximumDownstreamMediaRate,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceReachabilityStatus,device-reachability-status-subscriptions.yaml,wip,6074c3e6d63744dfef74a7c31f7a50b5276f0d73,/subscriptions,POST,createDeviceReachabilityStatusSubscription,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceReachabilityStatus,device-reachability-status-subscriptions.yaml,wip,6074c3e6d63744dfef74a7c31f7a50b5276f0d73,/subscriptions,GET,retrieveDeviceReachabilityStatusSubscriptionList,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DeviceReachabilityStatus,device-reachability-status-subscriptions.yaml,wip,6074c3e6d63744dfef74a7c31f7a50b5276f0d73,/subscriptions/{subscriptionId},GET,retrieveDeviceReachabilityStatusSubscription,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DeviceReachabilityStatus,device-reachability-status-subscriptions.yaml,wip,6074c3e6d63744dfef74a7c31f7a50b5276f0d73,/subscriptions/{subscriptionId},DELETE,deleteDeviceReachabilityStatusSubscription,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
DeviceReachabilityStatus,device-reachability-status.yaml,wip,6074c3e6d63744dfef74a7c31f7a50b5276f0d73,/retrieve,POST,getReachabilityStatus,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceRoamingStatus,device-roaming-status-subscriptions.yaml,wip,d8d5aa6c8b383f2af066f4d5ce3be407d665123f,/subscriptions,POST,createDeviceRoamingStatusSubscription,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceRoamingStatus,device-roaming-status-subscriptions.yaml,wip,d8d5aa6c8b383f2af066f4d5ce3be407d665123f,/subscriptions,GET,retrieveDeviceRoamingStatusSubscriptionList,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DeviceRoamingStatus,device-roaming-status-subscriptions.yaml,wip,d8d5aa6c8b383f2af066f4d5ce3be407d665123f,/subscriptions/{subscriptionId},GET,retrieveDeviceRoamingStatusSubscription,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DeviceRoamingStatus,device-roaming-status-subscriptions.yaml,wip,d8d5aa6c8b383f2af066f4d5ce3be407d665123f,/subscriptions/{subscriptionId},DELETE,deleteDeviceRoamingStatusSubscription,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
DeviceRoamingStatus,device-roaming-status.yaml,wip,d8d5aa6c8b383f2af066f4d5ce3be407d665123f,/retrieve,POST,getRoamingStatus,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceStatus,connected-network-type-subscriptions.yaml,0.1.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions,POST,createConnectedNetworkTypeSubscription,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceStatus,connected-network-type-subscriptions.yaml,0.1.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions,GET,retrieveConnectedNetworkTypeSubscriptionList,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DeviceStatus,connected-network-type-subscriptions.yaml,0.1.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions/{subscriptionId},GET,retrieveConnectedNetworkTypeSubscription,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DeviceStatus,connected-network-type-subscriptions.yaml,0.1.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions/{subscriptionId},DELETE,deleteConnectedNetworkTypeSubscription,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
DeviceStatus,connected-network-type.yaml,0.1.0,a628ed797be4915dab20288e4f11a5c60327ee03,/retrieve,POST,getConnectedNetworkType,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceStatus,device-reachability-status-subscriptions.yaml,0.7.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions,POST,createDeviceReachabilityStatusSubscription,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceStatus,device-reachability-status-subscriptions.yaml,0.7.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions,GET,retrieveDeviceReachabilityStatusSubscriptionList,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DeviceStatus,device-reachability-status-subscriptions.yaml,0.7.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions/{subscriptionId},GET,retrieveDeviceReachabilityStatusSubscription,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DeviceStatus,device-reachability-status-subscriptions.yaml,0.7.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions/{subscriptionId},DELETE,deleteDeviceReachabilityStatusSubscription,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
DeviceStatus,device-reachability-status.yaml,1.0.0,a628ed797be4915dab20288e4f11a5c60327ee03,/retrieve,POST,getReachabilityStatus,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceStatus,device-roaming-status-subscriptions.yaml,0.7.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions,POST,createDeviceRoamingStatusSubscription,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceStatus,device-roaming-status-subscriptions.yaml,0.7.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions,GET,retrieveDeviceRoamingStatusSubscriptionList,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DeviceStatus,device-roaming-status-subscriptions.yaml,0.7.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions/{subscriptionId},GET,retrieveDeviceRoamingStatusSubscription,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
DeviceStatus,device-roaming-status-subscriptions.yaml,0.7.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions/{subscriptionId},DELETE,deleteDeviceRoamingStatusSubscription,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
DeviceStatus,device-roaming-status.yaml,1.0.0,a628ed797be4915dab20288e4f11a5c60327ee03,/retrieve,POST,getRoamingStatus,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceSwap,device-swap.yaml,wip,2e87bc03d0c809b0d9c3091f257dcb96b1704ffd,/retrieve-date,POST,retrieveDeviceSwapDate,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceSwap,device-swap.yaml,wip,2e87bc03d0c809b0d9c3091f257dcb96b1704ffd,/check,POST,checkDeviceSwap,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
DeviceVisitLocation,device-visit-location.yaml,wip,bdcf95f99deb9ebb44d3cc519efc7e6b4ff4be13,/retrieve,POST,retrieveDeviceVisitLocation,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
EdgeApplicationManagement,edge-application-management.yaml,wip,037ca2d5f6573a57cd14c012fba5332f3a83b10a,/apps,POST,submitApp,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
EdgeApplicationManagement,edge-application-management.yaml,wip,037ca2d5f6573a57cd14c012fba5332f3a83b10a,/apps,GET,getApps,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
EdgeApplicationManagement,edge-application-management.yaml,wip,037ca2d5f6573a57cd14c012fba5332f3a83b10a,/apps/{appId},GET,getApp,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
EdgeApplicationManagement,edge-application-management.yaml,wip,037ca2d5f6573a57cd14c012fba5332f3a83b10a,/apps/{appId},DELETE,deleteApp,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
EdgeApplicationManagement,edge-application-management.yaml,wip,037ca2d5f6573a57cd14c012fba5332f3a83b10a,/app-instances,POST,createAppInstance,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
EdgeApplicationManagement,edge-application-management.yaml,wip,037ca2d5f6573a57cd14c012fba5332f3a83b10a,/app-instances,GET,getAppInstances,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
EdgeApplicationManagement,edge-application-management.yaml,wip,037ca2d5f6573a57cd14c012fba5332f3a83b10a,/app-instances/{appInstanceId},GET,getAppInstance,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
EdgeApplicationManagement,edge-application-management.yaml,wip,037ca2d5f6573a57cd14c012fba5332f3a83b10a,/app-instances/{appInstanceId},DELETE,deleteAppInstance,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
EdgeApplicationManagement,edge-application-management.yaml,wip,037ca2d5f6573a57cd14c012fba5332f3a83b10a,/deployments,POST,createAppDeployment,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
EdgeApplicationManagement,edge-application-management.yaml,wip,037ca2d5f6573a57cd14c012fba5332f3a83b10a,/deployments,GET,getAppDeployments,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
EdgeApplicationManagement,edge-application-management.yaml,wip,037ca2d5f6573a57cd14c012fba5332f3a83b10a,/deployments/{appDeploymentId},GET,getAppDeployment,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
EdgeApplicationManagement,edge-application-management.yaml,wip,037ca2d5f6573a57cd14c012fba5332f3a83b10a,/deployments/{appDeploymentId},DELETE,deleteAppDeployment,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
