repo,file,path,method,operationId,gt_class,state_effect,external_effect,spec_field,doubt,reason
BlockchainPublicAddress,blockchain-public-address-validation.yaml,/nonce,POST,createBlockchainPublicAddressValidationNonce,x,non-idempotent,none,responses.201,,"The 201 Created response returns a freshly generated ""One-time challenge"" nonce each call, so calling twice yields two distinct nonces rather than the same result."
BlockchainPublicAddress,blockchain-public-address.yaml,/blockchain-public-addresses/retrieve-blockchains,POST,retrieveBlockchainPublicAddress,r,none,none,description,,"Description says it ""Retrieves Blockchain Public Address associated with a mobile phone number"" and returns an array with no resource created or modified."
BlockchainPublicAddress,blockchain-public-address.yaml,/blockchain-public-addresses,POST,bindBlockchainPublicAddress,x,non-idempotent,none,description,,"Description explicitly states ""If the mobile phone number is already bound to a Blockchain Public Address, this operation will add a new bound Blockchain Public Address to the mobile phone number"", so repeating the call adds another binding rather than converging on one state."
BlockchainPublicAddress,blockchain-public-address.yaml,/blockchain-public-addresses/{id},DELETE,deleteBlockchainPublicAddress,w,idempotent,none,description,,"Description says it ""Unbinds Blockchain Public Address to a mobile phone number"" for the given bind id, a deletion whose end state (unbound) is stable under repetition."
CallForwardingSignal,call-forwarding-signal.yaml,/unconditional-call-forwardings,POST,retrieveUnconditionalCallForwarding,r,none,none,description,,"Description states the endpoint ""provides information about the status of the unconditional call forwarding, being active or not"", a status lookup with a boolean response and no state change."
CallForwardingSignal,call-forwarding-signal.yaml,/call-forwardings,POST,retrieveCallForwarding,r,none,none,description,,"Description states it ""provides information about which type of call forwarding service is active"", returning an array of active types with no state change."
CapabilitiesAndRuntimeRestrictions,capabilities-and-restrictions.yaml,/retrieve,POST,postServiceCapability,x,idempotent,notifies,info.description,,"The info.description explains the server ""internally registers for capability change events if 'subscriptionRequest' is provided in the request"" and calls the client-supplied sink with CloudEvents, i.e. it can create a live notification subscription as part of the call."
CarrierBillingCheckOut,carrier-billing-refund.yaml,/payments/{paymentId}/refunds,POST,createRefund,x,non-idempotent,third-party,description,,"Description says it will ""Create a new refund for an existing payment"" which is ""total`` or `partial`"", moving money back to the user on every successful call, a new refund resource each time."
CarrierBillingCheckOut,carrier-billing-refund.yaml,/payments/{paymentId}/refunds,GET,retrieveRefunds,r,none,none,summary,,"Summary is ""Get a list of refunds"", a plain listing operation with no request body."
CarrierBillingCheckOut,carrier-billing-refund.yaml,/payments/{paymentId}/refunds/{refundId},GET,retrieveRefund,r,none,none,summary,,"Summary is ""Get refund details"" for a specific refundId, a read-only lookup."
CarrierBillingCheckOut,carrier-billing-refund.yaml,/payments/{paymentId}/refunds/remaining-amount,GET,retrievePaymentRemainingAmount,r,none,none,summary,,"Summary is ""Get remaining amount not refunded for a given payment"", a computed read value with no state change."
CarrierBillingCheckOut,carrier-billing.yaml,/payments,POST,createPayment,x,non-idempotent,third-party,description,,"Description states ""Create a new payment for subsequent charging to an end user. Carrier Billing Server will apply the charging according to business configuration"", so each call creates a new payment and reaches the user's bill/balance."
CarrierBillingCheckOut,carrier-billing.yaml,/payments,GET,retrievePayments,r,none,none,description,,"Description says it will ""Retrieve a list of payments and their details based on some filtering criteria"", scoped to the calling client, with no side effects."
CarrierBillingCheckOut,carrier-billing.yaml,/payments/{paymentId},GET,retrievePayment,r,none,none,description,,"Description says it will ""Retrieve payment details for a given payment"", a read-only lookup by paymentId."
CarrierBillingCheckOut,carrier-billing.yaml,/payments/prepare,POST,preparePayment,x,non-idempotent,third-party,description,,"Summary/description say it will ""Prepare (reserve) a payment"" and ""Carrier Billing Server will apply the charging"", creating a new reservation resource each call against the end user's billing account, with a 409 ALREADY_EXISTS possible on a duplicate attempt."
CarrierBillingCheckOut,carrier-billing.yaml,/payments/{paymentId}/validate,POST,validatePayment,x,non-idempotent,none,responses.409,,"The 409 response example states ""Payment already validated"", showing that repeating the same validate call after success does not have the same effect as the first call."
CarrierBillingCheckOut,carrier-billing.yaml,/payments/{paymentId}/confirm,POST,confirmPayment,x,non-idempotent,third-party,description,,"Description says it will ""Confirm a reservation of a given payment"", which per the API's charging model (see createPayment/preparePayment) triggers the actual charge to the end user's carrier bill, and a 409 PaymentConfirmConflict409 exists for repeated confirmation."
CarrierBillingCheckOut,carrier-billing.yaml,/payments/{paymentId}/cancel,POST,cancelPayment,w,idempotent,none,description,,"Description says it will ""Cancel a reservation of a given payment"" before it is charged, which converges the reservation to a cancelled end state and does not move money or reach a third party."
ClickToDial,click-to-dial.yaml,/calls,POST,createCall,x,non-idempotent,third-party,description,,"Description says it ""Creates a new Click to Dial call session between the caller and the callee"", triggering a live network call that rings a device someone else answers, and creates a new call session on every invocation."
ClickToDial,click-to-dial.yaml,/calls/{callId},GET,getCall,r,none,none,description,,"Description says it will ""Retrieve the details and current status of a Click to Dial call session"", a read-only status lookup."
ClickToDial,click-to-dial.yaml,/calls/{callId},DELETE,terminateCall,x,non-idempotent,third-party,description,,"Description says it ""Terminates an active Click to Dial call session"" between caller and callee, ending a live call that the callee is also on."
ClickToDial,click-to-dial.yaml,/calls/{callId}/recording,GET,getRecording,r,none,none,description,,"Description says it will ""Retrieve the recording associated with the given callId"", a read-only fetch of an already-generated recording resource."
ConnectedNetworkType,connected-network-type-subscriptions.yaml,/subscriptions,POST,createConnectedNetworkTypeSubscription,x,non-idempotent,notifies,description,,"Description says it will ""Create a subscription for receiving notifications on changes to the connected network type of a device"", and the callback section confirms the server will POST CloudEvents to the client-provided sink, i.e. a new subscription and notification channel on every call."
ConnectedNetworkType,connected-network-type-subscriptions.yaml,/subscriptions,GET,retrieveConnectedNetworkTypeSubscriptionList,r,none,none,description,,"Description says it will ""Retrieve a list of device connected network type event subscription(s)"", a pure listing operation."
ConnectedNetworkType,connected-network-type-subscriptions.yaml,/subscriptions/{subscriptionId},GET,retrieveConnectedNetworkTypeSubscription,r,none,none,description,,"Description says it will ""retrieve ConnectedNetworkType subscription information for a given subscription ID"", a read-only lookup."
ConnectedNetworkType,connected-network-type-subscriptions.yaml,/subscriptions/{subscriptionId},DELETE,deleteConnectedNetworkTypeSubscription,w,idempotent,none,path,,"This is the standard CAMARA subscription delete operation on /subscriptions/{subscriptionId}: it removes the identified subscription, converging to the same absent-subscription end state on repetition and issuing no further notifications itself."
ConnectedNetworkType,connected-network-type.yaml,/retrieve,POST,getConnectedNetworkType,r,none,none,description,,"Description says it will ""Get the connected network type to which the user device is connected"", a status query returning the current technology (4G, 5G, etc.) with no state change."
ConnectivityInsights,connectivity-insights-subscriptions.yaml,/subscriptions,POST,createSubscription,x,non-idempotent,notifies,summary,,"Summary is ""Create a Connectivity insights subscription for a device"", and the callbacks section defines a notification POST to the client-supplied sink URL, so each call creates a new subscription/notification channel."
ConnectivityInsights,connectivity-insights-subscriptions.yaml,/subscriptions,GET,getSubscriptionList,r,none,none,summary,,"Summary is ""Retrieve a list of apiName event subscription"", a pure listing operation."
ConnectivityInsights,connectivity-insights-subscriptions.yaml,/subscriptions/{subscriptionId},GET,getSubscription,r,none,none,summary,,"Summary is ""Operation to retrieve a subscription based on the provided ID"", a read-only lookup."
ConnectivityInsights,connectivity-insights-subscriptions.yaml,/subscriptions/{subscriptionId},DELETE,deleteSubscription,w,idempotent,none,summary,,"Summary is ""Operation to delete a subscription""; deleting the same subscription id again converges to the same absent-subscription state."
ConnectivityInsights,connectivity-insights.yaml,/check-network-quality,POST,checkNetworkQuality,r,none,none,summary,,"Summary is ""Check the network quality"", a computed read of network conditions for the identified device/session with no created or modified resource."
ConsentInfo,consent-info.yaml,/retrieve,POST,retrieveStatus,r,none,none,description,,"Description says it will ""Create a request to retrieve the validity status of the API Consumer data processing for a given User, scope(s) and Purpose"", i.e. despite the verb ""create"" in the summary it only reads and returns existing consent status, optionally with a one-off captureUrl, not a subscription."
ConsentManagement,consent-management.yaml,/consents,POST,createConsent,x,non-idempotent,none,description,,"Description says the API Provider ""will set the creation date of the User Consent to the current date and time when the createConsent operation is invoked"", and the response returns a new consentId, so each successful call creates another Consent resource."
ConsentManagement,consent-management.yaml,/consents/{consentId},PATCH,updateConsent,w,idempotent,none,description,,"Description says it allows the consumer ""to update the status of an existing Consent"" identified by consentId, setting consentStatus to GRANTED or DENIED, a set operation on an existing resource."
ConsentManagement,consent-management.yaml,/consents/retrieve-info,POST,retrieveConsentInfo,r,none,none,description,,"Description says it allows the consumer ""to retrieve information about the Consent(s) for a given User, scope(s) and Purpose"", a read-only lookup returning an array (possibly empty) with no resource created."
CustomerInsights,customer-insights.yaml,/scoring/retrieve,POST,retrieveScoring,r,none,none,summary,,"Summary is ""Retrieves Scoring information"" for the identified subject (Gauge Metric or Veritas Index), a computed read with no state change."
DedicatedNetworks,dedicated-network-accesses.yaml,/accesses,GET,listAccesses,r,none,none,description,,"listAccesses only returns ""a paged list of accesses to dedicated networks... (can be empty)"" with no request body, a pure read."
DedicatedNetworks,dedicated-network-accesses.yaml,/accesses,POST,createAccess,x,non-idempotent,third-party,info.description,,"createAccess grants devices permission to use the dedicated network's reserved connectivity resources and returns a new accessId each call, per ""the API returns an accessId... which remains unchanged during its lifetime""."
DedicatedNetworks,dedicated-network-accesses.yaml,/accesses/{accessId},GET,readAccess,r,none,none,description,,"readAccess simply returns ""Access information"" for a given accessId with no state change."
DedicatedNetworks,dedicated-network-accesses.yaml,/accesses/{accessId},DELETE,deleteAccess,x,idempotent,third-party,info.description,,"Per ""Deletion of the access can be interpreted as removal of the permission for all the devices included in the access to access the network,"" deleting revokes live network connectivity granted to those devices."
DedicatedNetworks,dedicated-network-accesses.yaml,/accesses/{accessId}/devices,GET,listDevices,r,none,none,description,,"listDevices reads ""a paged list of devices with information included in the access"" without altering any state."
DedicatedNetworks,dedicated-network-accesses.yaml,/accesses/{accessId}/devices/add,POST,addDevicesToAccess,x,non-idempotent,third-party,info.description,,"Per ""additional devices can be added,"" each device begins in REQUESTED state and the provider then grants or denies actual network access, a live network action on real devices."
DedicatedNetworks,dedicated-network-accesses.yaml,/accesses/{accessId}/devices/remove,POST,removeDevicesFromAccess,x,idempotent,third-party,info.description,,"Per ""devices can be removed from it,"" the API returns confirmation that removal is ""interpreted as removal of the permission,"" revoking those devices' live access to the dedicated network."
DedicatedNetworks,dedicated-network-areas.yaml,/retrieve-service-areas,POST,retrieveNetworkServiceAreas,r,none,none,description,,"retrieveNetworkServiceAreas is a POST search whose body is only filter criteria (location, area, name, profile) and whose response is a list of matching service areas, no resource created."
DedicatedNetworks,dedicated-network-areas.yaml,/areas/{areaId},GET,readNetworkServiceArea,r,none,none,description,,"readNetworkServiceArea ""read[s] detailed information about a specific network service area,"" a pure lookup."
DedicatedNetworks,dedicated-network-profiles.yaml,/profiles,GET,readNetworkProfiles,r,none,none,description,,"readNetworkProfiles ""read[s] all available network profiles, optionally filtered by name,"" with no side effects."
DedicatedNetworks,dedicated-network-profiles.yaml,/profiles/{profileId},GET,readNetworkProfile,r,none,none,description,,"readNetworkProfile ""read[s] detailed information about a specific network profile,"" a pure lookup."
DedicatedNetworks,dedicated-network.yaml,/networks,GET,listNetworks,r,none,none,description,,"listNetworks returns ""a paged list of all available dedicated networks, optionally filtered by name,"" a pure read."
DedicatedNetworks,dedicated-network.yaml,/networks,POST,createNetwork,x,non-idempotent,notifies,info.description,,"createNetwork reserves connectivity resources and returns a new networkId each call, since ""the API returns a networkId... which remains unchanged during its lifetime,"" and the created network can later be activated for device use."
DedicatedNetworks,dedicated-network.yaml,/networks/{networkId},GET,readNetwork,r,none,none,description,,"readNetwork ""read[s] the current status and configuration of a specific dedicated network,"" a pure lookup."
DedicatedNetworks,dedicated-network.yaml,/networks/{networkId},DELETE,deleteNetwork,x,idempotent,third-party,info.description,,"Per ""Deletion of a network can be interpreted as a cancellation of the resource reservation,"" and since an ACTIVATED network is one ""devices with access can use,"" deleting it terminates connectivity devices may currently be using."
DeviceAuthenticity,device-authenticity.yaml,/check-status,POST,checkImeiStatus,r,none,none,requestBody.schema/RequestBody,,"checkImeiStatus takes only an imei value and returns register/operational status information, i.e. ""verify if an IMEI is present in allowed, prohibited, or tracked lists,"" with no resource created."
DeviceDataVolume,device-data-volume-subscriptions.yaml,/subscriptions,POST,createDeviceDataVolumeSubscription,x,non-idempotent,notifies,info.description,,"Creating a device data volume subscription registers a new webhook subscription for threshold events, matching ""API consumers can receive notifications regarding data volume usage thresholds"" via a newly created subscription id."
DeviceDataVolume,device-data-volume-subscriptions.yaml,/subscriptions,GET,retrieveDeviceDataVolumeSubscriptionList,r,none,none,description,,"This operation retrieves ""a list of data volume usage event subscription(s)"" without modifying anything."
DeviceDataVolume,device-data-volume-subscriptions.yaml,/subscriptions/{subscriptionId},GET,retrieveDeviceDataVolumeSubscription,r,none,none,description,,"This operation retrieves ""a specific subscription by ID,"" a pure lookup."
DeviceDataVolume,device-data-volume-subscriptions.yaml,/subscriptions/{subscriptionId},DELETE,deleteDeviceDataVolumeSubscription,w,idempotent,none,description,,"Per ""deletes a specific data volume usage subscription... Once deleted, no more notifications will be sent,"" deleting only stops the consumer's own future notifications, an idempotent state removal with no effect on any other party."
DeviceDataVolume,device-data-volume.yaml,/retrieve,POST,retrieveDataVolume,r,none,none,description,,"retrieveDataVolume ""retrieve[s] the estimated remaining data volume for a device,"" a query returning a value with no resource created."
DeviceDataVolume,device-data-volume.yaml,/check,POST,checkDataVolume,r,none,none,description,,"checkDataVolume checks ""if the remaining data allowance... is above a specified threshold"" and returns a boolean-style result with no state change."
DeviceIdentifier,device-identifier.yaml,/retrieve-identifier,POST,retrieveIdentifier,r,none,none,info.description,,"retrieveIdentifier returns device identifier data (""the response will always contain imei"") for a supplied subscription identifier, a pure query."
DeviceIdentifier,device-identifier.yaml,/retrieve-type,POST,retrieveType,r,none,none,info.description,,"retrieveType returns only device type info (""the response will always contain tac"") for a supplied subscriber identifier, a pure query."
DeviceIdentifier,device-identifier.yaml,/retrieve-ppid,POST,retrievePpid,r,none,none,info.description,,"retrievePpid returns a pseudonymised device identifier (""the response will always contain ppid"") for a supplied subscriber identifier, a pure query."
DeviceIdentifier,device-identifier.yaml,/match-identifier,POST,matchIdentifier,r,none,none,info.description,,"matchIdentifier ""check[s] whether a device identifier provided by the API consumer matches the one the network currently associates with a given mobile subscription"" and returns only a match boolean, no state change."
DeviceLocation,geofencing-subscriptions.yaml,/subscriptions,POST,createGeofencingSubscription,x,non-idempotent,notifies,info.description,,"Creating a geofencing subscription registers device enter/exit monitoring and returns ""an Event Subscription ID,"" a newly created notification resource each call."
DeviceLocation,geofencing-subscriptions.yaml,/subscriptions,GET,retrieveGeofencingSubscriptionList,r,none,none,description,,"This operation retrieves ""a list of geofencing event subscription(s)"" without any state change."
DeviceLocation,geofencing-subscriptions.yaml,/subscriptions/{subscriptionId},GET,retrieveGeofencingSubscription,r,none,none,description,,"This operation retrieves ""Geofencing subscription information for a given subscription ID,"" a pure lookup."
DeviceLocation,geofencing-subscriptions.yaml,/subscriptions/{subscriptionId},DELETE,deleteGeofencingSubscription,w,idempotent,none,summary,,"deleteGeofencingSubscription simply deletes ""a given Geofencing subscription,"" ending only the consumer's own future notifications with no effect on any other party."
DeviceLocation,location-retrieval.yaml,/retrieve,POST,retrieveLocation,r,none,none,description,,"retrieveLocation ""retrieve[s] the area where a certain user device is localized,"" a query returning a location value with nothing created."
DeviceLocation,location-verification.yaml,/verify,POST,verifyLocation,r,none,none,description,,"verifyLocation ""verif[ies] whether the location of a device is within a requested area"" and returns a verification result, a pure check."
DeviceMediaStreamingRate,media-streaming-rate.yaml,/retrieve-maximum-downstream-media-rate,POST,retrieveMaximumDownstreamMediaRate,r,none,none,description,,"This operation ""retrieve[s] the maximum downstream media streaming rate for a device,"" a query with no resource created."
DeviceReachabilityStatus,device-reachability-status-subscriptions.yaml,/subscriptions,POST,createDeviceReachabilityStatusSubscription,x,non-idempotent,notifies,info.description,,"Creating this subscription registers a new event subscription so the ""API consumer is able to be notified whether the reachability status... has changed,"" a newly created notification resource each call."
DeviceReachabilityStatus,device-reachability-status-subscriptions.yaml,/subscriptions,GET,retrieveDeviceReachabilityStatusSubscriptionList,r,none,none,description,,"This operation retrieves ""a list of device reachability status event subscription(s)"" without altering state."
DeviceReachabilityStatus,device-reachability-status-subscriptions.yaml,/subscriptions/{subscriptionId},GET,retrieveDeviceReachabilityStatusSubscription,r,none,none,description,,"This operation retrieves ""a given subscription by ID,"" a pure lookup."
DeviceReachabilityStatus,device-reachability-status-subscriptions.yaml,/subscriptions/{subscriptionId},DELETE,deleteDeviceReachabilityStatusSubscription,w,idempotent,none,description,,"deleteDeviceReachabilityStatusSubscription simply deletes ""a given subscription by ID,"" stopping only the consumer's own future notifications with no third-party effect."
DeviceReachabilityStatus,device-reachability-status.yaml,/retrieve,POST,getReachabilityStatus,r,none,none,description,,"getReachabilityStatus ""get[s] current connectivity status information synchronously,"" a pure query returning reachability data."
DeviceRoamingStatus,device-roaming-status-subscriptions.yaml,/subscriptions,POST,createDeviceRoamingStatusSubscription,x,non-idempotent,notifies,info.description,,"Creating this subscription lets the ""API consumer... be notified whether the roaming status of a certain user device has changed,"" registering a new notification resource each call."
DeviceRoamingStatus,device-roaming-status-subscriptions.yaml,/subscriptions,GET,retrieveDeviceRoamingStatusSubscriptionList,r,none,none,description,,"This operation retrieves ""a list of device roaming status event subscription(s)"" without altering state."
DeviceRoamingStatus,device-roaming-status-subscriptions.yaml,/subscriptions/{subscriptionId},GET,retrieveDeviceRoamingStatusSubscription,r,none,none,description,,"This operation retrieves device roaming status subscription information for a given subscription, a pure lookup."
DeviceRoamingStatus,device-roaming-status-subscriptions.yaml,/subscriptions/{subscriptionId},DELETE,deleteDeviceRoamingStatusSubscription,w,idempotent,none,description,,"deleteDeviceRoamingStatusSubscription deletes ""a given device-roaming-status subscription by ID,"" stopping only the consumer's own future notifications with no third-party effect."
DeviceRoamingStatus,device-roaming-status.yaml,/retrieve,POST,getRoamingStatus,r,none,none,description,,"getRoamingStatus ""get[s] the current roaming status and the country information"" synchronously, a pure query."
DeviceStatus,connected-network-type-subscriptions.yaml,/subscriptions,POST,createConnectedNetworkTypeSubscription,x,non-idempotent,notifies,responses.201,,"Creates a new Subscription resource (id assigned, 201 Created) that triggers ongoing notification delivery to the consumer's sink whenever the connected network type changes."
DeviceStatus,connected-network-type-subscriptions.yaml,/subscriptions,GET,retrieveConnectedNetworkTypeSubscriptionList,r,none,none,responses.200,,"Returns the list of existing subscriptions with no request body and no state change, per the 200 array-of-Subscription response."
DeviceStatus,connected-network-type-subscriptions.yaml,/subscriptions/{subscriptionId},GET,retrieveConnectedNetworkTypeSubscription,r,none,none,description,,description says it will 'retrieve ConnectedNetworkType subscription information for a given subscription ID' with no side effect.
DeviceStatus,connected-network-type-subscriptions.yaml,/subscriptions/{subscriptionId},DELETE,deleteConnectedNetworkTypeSubscription,w,idempotent,none,description,,"Deletes the caller's own subscription (204/202 async), a delete-resource operation whose repetition converges to the same deleted state."
DeviceStatus,connected-network-type.yaml,/retrieve,POST,getConnectedNetworkType,r,none,none,description,,description 'Get the connected network type to which the user device is connected' is a query with no requestBody-driven state change and a value-only 200 response.
DeviceStatus,device-reachability-status-subscriptions.yaml,/subscriptions,POST,createDeviceReachabilityStatusSubscription,x,non-idempotent,notifies,responses.201,,"Creating this subscription (201, with a notifications callback) initiates ongoing reachability-change event delivery to the consumer's sink."
DeviceStatus,device-reachability-status-subscriptions.yaml,/subscriptions,GET,retrieveDeviceReachabilityStatusSubscriptionList,r,none,none,responses.200,,Lists existing reachability-status subscriptions via a 200 array response with no state mutation.
DeviceStatus,device-reachability-status-subscriptions.yaml,/subscriptions/{subscriptionId},GET,retrieveDeviceReachabilityStatusSubscription,r,none,none,description,,description 'Retrieve a given subscription by ID' performs only a lookup.
DeviceStatus,device-reachability-status-subscriptions.yaml,/subscriptions/{subscriptionId},DELETE,deleteDeviceReachabilityStatusSubscription,w,idempotent,none,description,,"description 'Delete a given subscription by ID' removes the caller's own subscription, an idempotent delete."
DeviceStatus,device-reachability-status.yaml,/retrieve,POST,getReachabilityStatus,r,none,none,description,,description 'Get the current reachability status information' synchronously returns a value with no state change.
DeviceStatus,device-roaming-status-subscriptions.yaml,/subscriptions,POST,createDeviceRoamingStatusSubscription,x,non-idempotent,notifies,responses.201,,"Creating a roaming-status subscription (201, with roaming-on/off/country-change events) starts a stream of notifications to the consumer's sink."
DeviceStatus,device-roaming-status-subscriptions.yaml,/subscriptions,GET,retrieveDeviceRoamingStatusSubscriptionList,r,none,none,responses.200,,"Returns the array of roaming-status subscriptions with no side effect, per the 200 schema."
DeviceStatus,device-roaming-status-subscriptions.yaml,/subscriptions/{subscriptionId},GET,retrieveDeviceRoamingStatusSubscription,r,none,none,description,,description 'retrieve device roaming status subscription information for a given subscription' is a pure lookup.
DeviceStatus,device-roaming-status-subscriptions.yaml,/subscriptions/{subscriptionId},DELETE,deleteDeviceRoamingStatusSubscription,w,idempotent,none,description,,description 'Delete a given device-roaming-status subscription by ID' idempotently removes the caller's own subscription.
DeviceStatus,device-roaming-status.yaml,/retrieve,POST,getRoamingStatus,r,none,none,description,,description 'Get the current roaming status and the country information' synchronously returns data without altering state.
DeviceSwap,device-swap.yaml,/retrieve-date,POST,retrieveDeviceSwapDate,r,none,none,description,,description 'Get timestamp of last device swap for a mobile user account provided with phone number' is a read-only query returning DeviceSwapInfo.
DeviceSwap,device-swap.yaml,/check,POST,checkDeviceSwap,r,none,none,description,,description 'Check if device swap has been performed during a past period' returns a boolean 'swapped' with no state effect.
DeviceVisitLocation,device-visit-location.yaml,/retrieve,POST,retrieveDeviceVisitLocation,r,none,none,description,,description 'Retrieves the latest visit locations of a device within a given time window' is a pure query returning a geoCodeList.
EdgeApplicationManagement,edge-application-management.yaml,/apps,POST,submitApp,x,non-idempotent,none,info.description,,"info.description states the Edge Cloud Platform 'generates an appId for that metadata' on each submission, so a new Application resource is created every call."
EdgeApplicationManagement,edge-application-management.yaml,/apps,GET,getApps,r,none,none,description,,description 'Get the list of all existing Application definitions from the Edge Cloud Provider that the user has permission to view' is read-only.
EdgeApplicationManagement,edge-application-management.yaml,/apps/{appId},GET,getApp,r,none,none,description,,description 'Ask the Edge Cloud Provider the information for a given application' performs a lookup only.
EdgeApplicationManagement,edge-application-management.yaml,/apps/{appId},DELETE,deleteApp,w,idempotent,none,description,,description 'Delete all the information and content related to an Application' idempotently removes the caller's own application record.
EdgeApplicationManagement,edge-application-management.yaml,/app-instances,POST,createAppInstance,x,non-idempotent,none,description,,description 'Ask the Edge Cloud Platform to instantiate an application to an Edge Cloud Zone' creates a new running instance with a fresh appInstanceId on each accepted call.
EdgeApplicationManagement,edge-application-management.yaml,/app-instances,GET,getAppInstances,r,none,none,description,,description 'Ask the Edge Cloud Provider the information of the instances for a given application' is a read-only list query.
EdgeApplicationManagement,edge-application-management.yaml,/app-instances/{appInstanceId},GET,getAppInstance,r,none,none,description,,description 'Ask the Edge Cloud Provider the information for a given application instance' is a lookup with no side effect.
EdgeApplicationManagement,edge-application-management.yaml,/app-instances/{appInstanceId},DELETE,deleteAppInstance,w,idempotent,none,description,,description 'Terminate a running instance of an application within an Edge Cloud Zone' is an idempotent removal of the caller's own instance.
EdgeApplicationManagement,edge-application-management.yaml,/deployments,POST,createAppDeployment,x,non-idempotent,none,description,,description 'Ask the Edge Cloud Platform to instantiate an application to several Edge Cloud Zones' creates a new appDeploymentId resource on each accepted call.
EdgeApplicationManagement,edge-application-management.yaml,/deployments,GET,getAppDeployments,r,none,none,description,,description 'Ask the Edge Cloud Provider the information of the Deployments for a given application' is a read-only list.
EdgeApplicationManagement,edge-application-management.yaml,/deployments/{appDeploymentId},GET,getAppDeployment,r,none,none,description,,description 'Ask the Edge Cloud Provider the information of a given application deployment' performs only a lookup.
EdgeApplicationManagement,edge-application-management.yaml,/deployments/{appDeploymentId},DELETE,deleteAppDeployment,w,idempotent,none,description,,description 'Delete a deployment terminating all related instances of an application' idempotently tears down the caller's own deployment.
EdgeApplicationManagement,edge-application-management.yaml,/deployments/{appDeploymentId},PATCH,updateAppDeployment,w,idempotent,none,description,,"description specifies JSON Merge Patch semantics where 'Only the fields provided in the request body will be updated,' a repeatable set-style update."
EdgeApplicationManagement,edge-application-management.yaml,/edge-cloud-zones,GET,getEdgeCloudZones,r,none,none,description,,description 'List of the provider's Edge Cloud Zones ... returned as a paginated collection' is a filtered read query.
EnergyFootprintNotification,energy-footprint-notification.yaml,/calculate-energy-consumption,POST,calculateEnergyConsumption,x,non-idempotent,notifies,responses.201,,"response 201 acquires a new analysis request (a fresh requestId) and the result is delivered later via the onEnergyConsumption callback, per description 'provides back the energy consumption with a callback.'"
EnergyFootprintNotification,energy-footprint-notification.yaml,/calculate-carbon-footprint,POST,calculateCarbonFootprint,x,non-idempotent,notifies,responses.201,,"response 201 acquires a new analysis request and results are delivered via the onCarbonFootprintCalculation callback, per description 'provides back the carbon footprint with a callback.'"
HighThroughputElasticNetworks,high_throughput_elastic_networks.yaml,/high-throughput-elastic-network/transmission/schedule,POST,scheduleTransmission,x,non-idempotent,third-party,description,,"description 'Schedules network resources based on bandwidth, latency, file size and guarantee requirements' books finite live network capacity, a reservation-like action each call."
