set,repo,method,path,operationId,tool_class,gt_class,rule_id,words_fired,confidence,summary,description_first_sentence,description_rest,reader_reason,state_effect,external_effect,doubt
camara-build,KnowYourCustomerMatch,POST,/match,kycMatch,x,r,L5-floor,verb=matching,method-only,Matching a customer identity by checking a set of attributes related against the account data bound to their phone number.,Verify matching of a number of attributes related to a customer identity against the verified data bound to their phone number in the Operator systems.,"Regardless of whether the `phoneNumber` is explicitly stated in the request body, at least one of the other fields must be provided, otherwise a `HTTP 400 - KNOW_YOUR_CUSTOMER.INVALID_PARAM_COMBINATION` error will be returned. The API will return the result of the matching process for each requested attribute. This means that the response will **only** contain the attributes for which validation has been requested. Possible values are:k - **true**: the attribute provided matches with the one in the Operator systems, which is equal to a `match_score` of 100. - **false**: the attribute provided ","As the standalone Match repo's endpoint, it compares SP-held attributes against the Operator's verified KYC records and returns per-attribute match results, never writing data.",none,none,
camara-build,MostFrequentLocation,POST,/verify,verifyFrequentLocation,x,r,L5-floor,verb=verify,method-only,Verify the most frequent location of a device,Verify the frequency with which a device is within a requested geographic area location.,The location can be defined by a postal code or a latitude and longitude coordinates. The operation returns a score representing how frequently the device was connected to antennas whose coverage covers the requested area.,"The operation 'returns a score representing how frequently the device was connected to antennas' whose coverage matches the requested area, a computed read with no state change.",none,none,
camara-build,NetworkAccessManagement,DELETE,/reboot-requests/{rebootRequestId},deleteRebootRequest,x,w,L2-danger-verb,"verbs=cancel,reboot",high,Delete an existing Reboot Request,"Deletes an existing Reboot Request, cancelling the scheduled reboot if it has not yet occurred.",,"Deletes the Reboot Request, ""cancelling the scheduled reboot if it has not yet occurred"", a standard idempotent delete of a resource.",idempotent,none,
camara-build,NetworkAccessManagement,POST,/trust-domains,createTrustDomain,x,w,L5-floor,verb=create,method-only,Create a new Trust Domain,Creates and returns the new Trust Domain.,A 409 ALREADY_EXISTS is returned if a Trust Domain with the same name already exists for the referenced service.,"Creation is guarded by name uniqueness (""409 ALREADY_EXISTS ... if a Trust Domain with the same name already exists""), so repeated identical requests converge on the same single domain rather than each creating a distinct resource, and the config is applied only to the caller's own network access devices.",idempotent,none,
camara-build,NetworkAccessManagement,PATCH,/trust-domains/{trustDomainId},updateTrustDomain,x,w,L3-live-noun,"nouns=access,network verb=update",low,Update a specific Trust Domain,Updates the Trust Domain identified by the given ID.,Any changes are automatically applied to all network access devices where the Trust Domain is configured.,"Updates the Trust Domain by ID with full-replacement semantics for accessDetails, so repeating the same PATCH body leaves the domain in the same state.",idempotent,none,
camara-build,NetworkAccessManagement,DELETE,/trust-domains/{trustDomainId},deleteTrustDomain,x,w,L3-live-noun,"nouns=access,network verb=delete",low,Delete a specific Trust Domain,Deletes the Trust Domain identified by the given ID and removes its configuration from all network access devices where it is applied.,,"Deletes the Trust Domain and removes its configuration from all network access devices where applied, a standard idempotent resource delete.",idempotent,none,
camara-build,NetworkAccessManagement,PATCH,/trust-domains/{trustDomainId}/devices/{deviceId},updateTrustDomainDevice,x,w,L5-floor,verb=update,method-only,Update a device in a Trust Domain,Updates the device identified by the given ID within the specified Trust Domain.,Only the fields included in the request body will be updated. The `bootstrappingInfo` and `deviceCredential` fields use full replacement semantics when included.,"Only included fields are updated, with `bootstrappingInfo`/`deviceCredential` replaced wholesale when present, making repeated identical PATCHes converge on the same device state.",idempotent,none,
camara-build,NetworkSliceBooking,DELETE,/slices/{sliceId},deleteSlice,x,w,L2-danger-verb,verbs=releas,high,Delete a network slice,Release slice resources related to sliceId.,"NOTES: - The deletion operation takes effect immediately, e.g. if the slice is deleted before the end of the service time, the service will end ahead of the scheduled time. - If the slice is deleted, the API consumer will not be able to retrieve information about the slice. - The deletion operation is idempotent, meaning that if the slice is already deleted, the API consumer will receive a response with code `204 - No Content`.","The spec states explicitly ""The deletion operation is idempotent, meaning that if the slice is already deleted, the API consumer will receive a response with code 204"".",idempotent,none,
camara-build,NumberVerification,POST,/verify,phoneNumberVerify,x,r,L3-live-noun,"nouns=access,network verb=verify",low,Verifies if the received hashed/plain text phone number matches the phone number associated with the access token,Verifies if the specified phone number (either in plain text or hashed format) matches the one that the user is currently using.,Only one of the plain or hashed formats must be provided. - The number verification will be done for the user that has authenticated via mobile network - It returns true/false depending on if the hashed phone number received as input matches the authenticated user's `device phone number` associated to the access token,"Compares the supplied phone number against the one tied to the access token and returns true/false, described purely as a verification check with no state change.",none,none,
camara-build,OptimalEdgeDiscovery,POST,/retrieve-optimal-edge-cloud-zones,discoverOptimalEdge,x,r,L5-floor,verb=discover,method-only,Discover optimal edge cloud zones for deployed applications,Returns a list of optimal edge cloud zones where you can register your deployed application.,"The `applicationProfileId` is required; optionally, device information and a preferred `edgeCloudRegion` may also be specified.","Request body is only an applicationProfileId plus optional device/region identifiers, and the response is a ranked list of zones with no resource created by the call.",none,none,
camara-build,PredictiveConnectivityData,POST,/retrieve,retrieveConnectivity,x,r,L1-structural,"structural=callbacks,sink",high,Obtain connectivity information in the specified area,"Retrieves the connectivity for a concrete area, specifying the required service level that has to be met in the whole area in the requested network type/s.","Optionally, raw signal strength values can be included in the response if supported by the implementation.",Retrieves a connectivity estimation for a requested area/service level/time window; the request is a query and the response is computed data with no resource created.,none,none,
camara-build,QualityOnDemand,POST,/retrieve-qos-profiles,retrieveQosProfiles,x,r,L2-danger-verb,"verbs=send,sent,transfer",high,Retrieve QoS profiles,Returns all QoS Profiles that match the given criteria.,"**NOTES:** - The access token may be either a 2-legged or 3-legged access token. - If the access token is 3-legged, all returned QoS Profiles will be available to the subject (device) associated with the access token. - If the access token is 2-legged and a device filter is provided, all returned QoS Profiles will be available to that device. If multiple device identifiers are provided within the device property, only QoS Profiles available to the device identifier chosen by the implementation will be returned, even if the identifiers do not match the same device. API provider does not perform","The operation only returns a filtered list of QoS Profiles (""Returns all QoS Profiles that match the given criteria"") and does not create or modify any resource.",none,none,
camara-build,QualityOnDemand,DELETE,/qos-assignments/{assignmentId},revokeQosAssignment,x,w,L2-danger-verb,"verbs=notif,revok",high,Revokes a QoS profile assignment identified by an assignment record ID,Revokes the assignment of a QoS profile to a device performed by a previous assignment operation.,"If the notification callback is provided and the assignment status was `AVAILABLE`, when the process is completed, the API consumer will receive in addition to the response a `ASSIGNMENT_STATUS_CHANGED` event with - `status` as `UNAVAILABLE` and - `statusInfo` as `DELETE_REQUESTED` There will be no notification event if the `status` was already `UNAVAILABLE`. **NOTES:** - The access token may be either 2-legged or 3-legged. - If a 3-legged access token is used, the subject associated with the QoS profile assignment must also be associated with the access token. - The QoS profile assignment mus","The operation ""revokes the assignment of a QoS profile to a device"" by deleting the existing assignment record, matching the ordinary resource-deletion pattern.",idempotent,none,
camara-build,QualityOnDemand,POST,/retrieve-qos-assignment,getQosAssignmentByDevice,x,r,L2-danger-verb,"verbs=invok,send,sent,transfer",high,Returns the assignment record details of the QoS profile assignment for a device,"Returns the details of the record for the assignment of a QoS profile to a device, if any.","**NOTES:** - The access token may be either 2-legged or 3-legged. See ""Identifying the device from the access token"" for further information - When the API is invoked using a two-legged access token, the subject will be identified from the optional `device` object, which therefore MUST be provided. - When a three-legged access token is used however, this optional identifier MUST NOT be provided, as the subject will be uniquely identified from the access token. - The QoS profile assignment must have been created by the same API consumer given in the access token. - If no QoS profile assignment ","This POST ""returns the details of the record for the assignment of a QoS profile to a device"" and is explicitly a query substituting for GET to avoid exposing device identifiers, not a state change.",none,none,
camara-build,QualityOnDemand,DELETE,/sessions/{sessionId},deleteSession,x,w,L2-danger-verb,"verbs=notif,releas",high,Delete a QoS session,Release resources related to QoS session If the notification callback is provided and the `qosStatus` of the session was `AVAILABLE` the client will receive in addition to the response a `QOS_STATUS_CHANGED` event with - `qosStatus` as `UNAVAILABLE` and - `statusInfo` as `DELETE_REQUESTED` There will be no notification event if the `qosStatus` was already `UNAVAILABLE`.,"**NOTES:** - The access token may be either 2-legged or 3-legged. - If a 3-legged access token is used, the subject associated with the session must also be associated with the access token. - The session must must have been created by the same API consumer given in the access token","deleteSession simply releases ""resources related to QoS session,"" the canonical resource-deletion case.",idempotent,none,
camara-build,QualityOnDemand,POST,/retrieve-sessions,retrieveSessionsByDevice,x,r,L2-danger-verb,"verbs=send,sent,transfer",high,Get QoS session information for a device,Querying for QoS session resource information details for a device **NOTES:** - The access token may be either 2-legged or 3-legged.,"- If a 3-legged access token is used, the subject associated with the session must also be associated with the access token. In this case the optional `device` parameter MUST NOT be provided in the request. - If a 2-legged access token is used, the device parameter must be provided and identify a device. - The session must have been created by the same API consumer given in the access token - If no QoS session is found for the requested device, an empty array is returned. - This call uses the POST method instead of GET to comply with the CAMARA Commonalities guidelines for sending sensitive or","retrieveSessionsByDevice is ""querying for QoS session resource information details for a device"" and returns an empty array if none are found, with no resource created.",none,none,
camara-build,SessionInsights,DELETE,/sessions/{sessionId},deleteSession,x,w,L2-danger-verb,"verbs=notif,stop",high,Delete session,Delete an insights session by its operator-assigned session ID.,This will stop all notifications and metric reporting for the session.,"Deleting the session merely ""stops all notifications and metric reporting for the session,"" an ordinary teardown of the caller's own monitoring resource with no live network reconfiguration described.",idempotent,none,
camara-build,WebRTC,DELETE,/subscriptions/{subscriptionId},deleteNotificationChannelSubscription,x,w,L2-danger-verb,"verbs=notif,stop",high,Delete a webrtc-events event subscription,API endpoint to delete a given webrtc-events subscription.,Action done to stop receiving notifications about this event subscription.,"Deleting the requester's own subscription is idempotent and the subscription-ended event it emits goes to the requester's own sink, not to a third party; ruled w by the orchestrator, consistent with the other subscription deletions in the set.",idempotent,none,
camara-build,WebRTC,PUT,/sessions/{registrationId},updateRegistrationById,x,w,L2-danger-verb,verbs=expir,high,Refresh network registration.,API endpoint used to **refresh** an existing registration *before* it expires.,"**Server behaviour on refresh** 1. Let `t_req` be the server-side receipt time of the request and `t_prev` the previously stored `registrationExpireTime`. 2. Compute the remaining lifetime remaining = t_prev - t_req (values ≤ 0 indicate the client is late; operators MAY reject or treat it as a new registration). 3. Apply the operator's configured TTL (`TTL_cfg`, e.g. 3600 s) **from `t_req`, not from `t_prev`**: newExpire = t_req + TTL_cfg 4. Persist `newExpire` and return it in `expiresAt` inside the response body. Clients SHOULD plan to refresh well **before** `newExpire` to avoid race condit","The refresh logic recomputes and persists ""newExpire"" from the operator's TTL policy using the request receipt time each call, a set-style update to the caller's own registration expiry with no third-party effect described.",idempotent,none,
camara-build,WebRTC,DELETE,/sessions/{registrationId},deleteRegistrationById,x,w,L3-live-noun,"nouns=network,session verb=delete",low,Delete Registration Session.,API endpoint used to remove a valid registration on the network.,This action frees any resource and invalidates future actions that involves this registration between the device and the network. Use the registrationId to identify the registration to delete.,"Deleting ""frees any resource and invalidates future actions that involves this registration"" — an idempotent removal of the caller's own registration resource with no external effect stated for this operation.",idempotent,none,
camara-test,BlockchainPublicAddress,POST,/blockchain-public-addresses/retrieve-blockchains,retrieveBlockchainPublicAddress,x,r,L2-danger-verb,verbs=send,high,Retrieves Blockchain Public Address associated with a mobile phone number.,Retrieves Blockchain Public Address associated with a mobile phone number.,"This operation can be accessed in 3-legged and in 2-legged, notice that the mobile phone number used as input need not be related with the user or mobile phone number to which the Access Token is associated; this is because the operation is intended to be used to manage Blockchain Public Address of any mobile phone number, in order to perform send or request crypto operations.","Description says it ""Retrieves Blockchain Public Address associated with a mobile phone number"" and returns an array with no resource created or modified.",none,none,
camara-test,BlockchainPublicAddress,DELETE,/blockchain-public-addresses/{id},deleteBlockchainPublicAddress,x,w,L3-live-noun,nouns=access verb=unbind,low,Unbinds Blockchain Public Address association to a mobile phone number,Unbinds Blockchain Public Address to a mobile phone number.,"This operation is intended to be used with a 3-legged Access Token; this is because only the user of the mobile phone number must be able to perform the unbind. Note: Due to this, the API Server must validate that the `id` included in the request refers to a bind for a mobile phone number belonging to the user identified by its `sub` in the Access Token.","Description says it ""Unbinds Blockchain Public Address to a mobile phone number"" for the given bind id, a deletion whose end state (unbound) is stable under repetition.",idempotent,none,
camara-test,ConsentManagement,PATCH,/consents/{consentId},updateConsent,x,w,L2-danger-verb,verbs=expir,high,Update User Consent,"This operation allows the API Consumer to update the status of an existing Consent for a given User, scope(s) and Purpose.",The API Consumer is identified by the `client_id` parameter deduced from the access token. The expiration date of the User Consent updated by the API Consumer will be determined by the API Provider's internal policies. The API Consumer cannot set or modify the expiration date of the User Consents captured in a delegated manner.,"Description says it allows the consumer ""to update the status of an existing Consent"" identified by consentId, setting consentStatus to GRANTED or DENIED, a set operation on an existing resource.",idempotent,none,
camara-test,DeviceDataVolume,DELETE,/subscriptions/{subscriptionId},deleteDeviceDataVolumeSubscription,x,w,L2-danger-verb,"verbs=notif,sent",high,Delete a device data volume event subscription,This operation deletes a specific data volume usage subscription by its subscription ID.,"Once deleted, no more notifications will be sent for the corresponding subscription.","Per ""deletes a specific data volume usage subscription... Once deleted, no more notifications will be sent,"" deleting only stops the consumer's own future notifications, an idempotent state removal with no effect on any other party.",idempotent,none,
camara-test,DeviceDataVolume,POST,/retrieve,retrieveDataVolume,x,r,L2-danger-verb,verbs=execut,high,Execute device data volume retrieval for a user device,Retrieve the estimated remaining data volume for a device.,,"retrieveDataVolume ""retrieve[s] the estimated remaining data volume for a device,"" a query returning a value with no resource created.",none,none,
camara-test,DeviceLocation,POST,/retrieve,retrieveLocation,x,r,L2-danger-verb,verbs=execut,high,Execute location retrieval for a user device,Retrieve the area where a certain user device is localized.,,"retrieveLocation ""retrieve[s] the area where a certain user device is localized,"" a query returning a location value with nothing created.",none,none,
camara-test,DeviceLocation,POST,/verify,verifyLocation,x,r,L5-floor,verb=verify,method-only,Verify the location of a device,Verify whether the location of a device is within a requested area.,"The operation returns a verification result and, optionally, a match rate estimation for the location verification in percent.","verifyLocation ""verif[ies] whether the location of a device is within a requested area"" and returns a verification result, a pure check.",none,none,
camara-test,DeviceStatus,DELETE,/subscriptions/{subscriptionId},deleteConnectedNetworkTypeSubscription,x,w,L3-live-noun,nouns=network verb=delete,low,Delete a device-roaming-status event subscription for a device,Delete a given device-roaming-status subscription by ID,,description 'Delete a given device-roaming-status subscription by ID' idempotently removes the caller's own subscription.,idempotent,none,
camara-test,KnowYourCustomer,POST,/verify,verifyAge,x,r,L5-floor,verb=verify,method-only,Verify Age Threshold,Verify that the age of the subscriber associated with a phone number is equal to or greater than the specified age threshold value.,"As it is possible that the person holding the contract and the end-user of the subscription may not be the same, the endpoint also admits a list of optional properties to be included in the request to improve the identification. The response may optionally include the `identityMatchScore` property with a value that indicates how certain it is that the information returned relates to the person that the API Client is requesting. To increase the reliability of the information returned, the API Provider may include in the response the `verifiedStatus` property, indicating whether the identity inf","""Verify that the age of the subscriber ... is equal to or greater than the specified age threshold"" only returns a computed ageCheck value, changing nothing.",none,none,
camara-test,KnowYourCustomer,POST,/fill-in,KYC_Fill-in,x,r,L5-floor,verb=providing,method-only,Providing information related to a customer identity stored the account data bound to the customer's phone number.,,,"The summary describes 'Providing information related to a customer identity stored the account data bound to the customer's phone number', a read of Operator-held data with no write.",none,none,
camara-test,KnowYourCustomer,POST,/match,KYC_Match,x,r,L5-floor,verb=matching,method-only,Matching a customer identity by checking a set of attributes related against the account data bound to their phone number.,Verify matching of a number of attributes related to a customer identity against the verified data bound to their phone number in the Operator systems.,"Regardless of whether the `phoneNumber` is explicitly stated in the request body, at least one of the other fields must be provided, otherwise a `HTTP 400 - KNOW_YOUR_CUSTOMER.INVALID_PARAM_COMBINATION` error will be returned. In order to proceed with the match check, some Operators may have the requirement to perform an additional level of validation based on the `idDocument` property. This means that, in those cases, the `idDocument` is required and the provided value needs to match the one stored in the Operator system associated with the indicated `phoneNumber`. This validation will be don",The operation 'verif[ies] matching of a number of attributes' against stored data and returns true/false/not_available per attribute without altering any record.,none,none,
camara-test,KnowYourCustomerFill-in,POST,/fill-in,kycFillin,x,r,L5-floor,verb=providing,method-only,Providing information related to a customer identity stored the account data bound to the customer's phone number.,Provides information related to a customer identity stored the account data bound to the customer's phone number.,,"As the standalone Fill-in repo's endpoint, it lets a client 'request and receive the information for a particular user ... on file' with the Operator, purely retrieving stored attributes.",none,none,
camara-test,ModelAsAService,DELETE,/knowledge-bases/{knowledgeBaseId},deleteKnowledgeBase,x,w,L2-danger-verb,"verbs=irreversibl,permanent",high,Delete a knowledge base,Permanently deletes a knowledge base and its documents.,**Key Features:** - Removes knowledge base metadata - Deletes all associated documents - Irreversible operation **Key Rules:** - Requires valid `knowledgeBaseId` - Requires `knowledge-base:knowledge-bases:delete` scope - No partial deletions **Response Characteristics:** - **204 No Content**: Successful deletion (no body) - **404 Not Found**: Invalid knowledgeBaseId - **403 Forbidden**: Missing required scope - **500 Internal Server Error**: Deletion processing failure,"""Permanently deletes a knowledge base and its documents"" with 204 No Content is an idempotent removal, since a repeat call finds it already gone.",idempotent,none,
camara-test,ModelAsAService,DELETE,/knowledge-bases/{knowledgeBaseId}/documents/{documentId},deleteDocument,x,w,L2-danger-verb,"verbs=cannot be undone,irreversibl,permanent",high,Delete a document,"Permanently removes a document from a knowledge base, together with any indexed representation of its content.","The document is no longer returned by `GET /knowledge-bases/{knowledgeBaseId}` or by `getDocument`, and it no longer participates in answer generation. **Key Features:** - Irreversible deletion - Removes document metadata and its indexed content **Key Rules:** - Requires valid `knowledgeBaseId` and `documentId` - Requires `knowledge-base:documents:delete` scope - Cannot be undone **Response Characteristics:** - **204 No Content**: Successful deletion (no body) - **404 Not Found**: Invalid documentId or knowledgeBaseId - **403 Forbidden**: Missing required scope - **500 Internal Server Error**:","""Permanently removes a document from a knowledge base"" returning 204 is an idempotent deletion of the identified sub-resource.",idempotent,none,
camara-test,ModelAsAService,DELETE,/knowledge-bases/{knowledgeBaseId}/tools/{toolId},deleteTool,x,w,L2-danger-verb,"verbs=cannot be undone,irreversibl,permanent",high,Delete a tool,Permanently removes a tool definition from the knowledge base.,"**Cross-API effect on assistants:** if the deleted tool is referenced by one or more assistants via the `toolIds` field of the `qa-assistant-manage` API, the server MUST silently drop (prune) the deleted tool's ID from those assistants' `toolIds` arrays on their next read (`getAssistant` / `listAssistants`). Reads of an affected assistant do NOT return `422 KNOWLEDGE_BASE.TOOL_NOT_FOUND` for the pruned tool (issue #51). This single behaviour makes the cross-API contract dependable across implementations. **Key Features:** - Irreversible deletion - Removes tool metadata - Prunes the deleted too","""Permanently removes a tool definition"" (204) is an idempotent deletion, and the cross-API pruning of assistant toolIds it triggers is itself idempotent.",idempotent,none,
camara-test,ModelAsAService,DELETE,/assistants/{assistantId},deleteAssistant,x,w,L2-danger-verb,"verbs=cannot be undone,deactivat,irreversibl,permanent",high,Delete a QA assistant,Permanently removes a QA assistant configuration.,**Key Features:** - Irreversible deletion - Cleans up associated resources - Immediate deactivation **Key Rules:** - Requires valid UUID `assistantId` - Needs `qa-assistant-manage:assistants:delete` scope - Cannot be undone **Response Characteristics:** - **204 No Content**: Successful deletion (no body) - **404 Not Found**: Invalid assistantId - **403 Forbidden**: Missing required scope - **500 Internal Server Error**: Deletion processing failure,"""Permanently removes a QA assistant configuration"" (204) is an idempotent deletion that cannot be undone but converges to the same deleted state on repeat.",idempotent,none,
camara-test,MultiPointVPN,PATCH,/networks/{serviceId},updateNetwork,x,w,L3-live-noun,nouns=network verb=to,low,To update a multipoint virtual private network,Update a multipoint virtual private network,,"updateNetwork uses application/merge-patch+json against NetworkUpdate, a JSON-merge-patch set of guaranteeBandwidth/sla fields that is idempotent by construction.",idempotent,none,
camara-test,MultiPointVPN,DELETE,/networks/{serviceId},deleteNetwork,x,w,L3-live-noun,nouns=network verb=delete,low,Delete multipoint virtual private network,Delete multipoint virtual private network,,"""Network deletion request accepted. The deletion is processed asynchronously; the resource will be removed once complete"" describes an idempotent removal despite the async 202.",idempotent,none,
camara-test,MultiPointVPN,POST,/assessment,assessConnectionFeasibility,x,r,L5-floor,verb=assess,method-only,Assess Multipoint VPN connection feasibility,Get the feasibility assessment for a Multipoint VPN connection,,"The request body only carries hypothetical connection parameters and the response returns waitDays/sla/rent estimates with no network or resource created, matching the query-only-POST rule for r.",none,none,
camara-test,OTPValidation,POST,/validate-code,validateCode,x,w,L5-floor,verb=verify,method-only,Verifies the OTP received as input,Verifies the code is valid for the received authenticationId,,"Verifies the code for the given authenticationId; once validated the code is consumed (single-use, per MAX_OTP_CODES/expiry semantics) so the authenticationId's final state converges after one or more calls, with no effect reaching outside the API.",idempotent,none,
camara-test,PopulationDensityData,POST,/retrieve,retrievePopulationDensity,x,r,L1-structural,"structural=callbacks,sink",high,Retrieves population density information in a specified area,Retrieves population density estimation together with the estimation range related for a time slot for a given area (described as a polygon) as a data set consisting of a sequence of equally-sized objects covering the input polygon area.,,"The info.description states this ""operation creates no resource to read back""; the operationId is only used to correlate an async callback delivery of the same query's result, not a created resource.",none,none,
camara-test,QoSBooking,DELETE,/qos-bookings/{bookingId},deleteBooking,x,w,L2-danger-verb,"verbs=cancel,notif,releas,sent",high,This operation cancels an existing QoS Booking and release the associated resources.,This operation cancels and deletes a specific QoS booking using its unique identifier and releases the resources related to that booking.,It supports both synchronous and asynchronous processing. Constraints & Notes: - The Quality of Service (QoS) booking must have been created by the same API client identified in the access token. - The SUCCESSFUL and FAILURE conditions for a deletion are dependent on the operator's specific implementation. - Operators SHOULD properly document their `Booking Cancellation` behavior with clear policies and the respective terms and conditions. Response Scenarios: - `HTTP 200 (status: SUCCESSFUL):` The booking was deleted immediately (synchronous success). - `HTTP 202 (status: PENDING). :` The requ,"""cancels and deletes a specific QoS booking ... and releases the resources related to that booking"", a standard cancellation/delete of an existing resource.",idempotent,none,
camara-test,QoSBooking,POST,/qos-bookings/retrieve,retrieveBookingByDevice,x,r,L2-danger-verb,"verbs=send,sent",high,Retrieves all the bookings that corresponds to a device,Querying for QoS Booking resource information details for a device.,"**NOTES:** - The access token may be either 2-legged or 3-legged. - If a 3-legged access token is used, the subject associated with the QoS Booking must also be associated with the access token. In this case the optional `device` parameter MUST NOT be provided in the request. - If a 2-legged access token is used, the device parameter must be provided and identify a device. - The QoS Booking must have been created by the same API client given in the access token. - If no QoS booking is found for the requested device, an empty array is returned. - This call uses the POST method to comply with th","""Querying for QoS Booking resource information details for a device""; body carries only a device identifier and the response is a read-only array.",none,none,
camara-test,QoSBooking,DELETE,/device-qos-bookings/{bookingId},deleteBooking,x,w,L2-danger-verb,"verbs=activat,notif,releas,terminat",high,Deletes a QoS Booking,Release resources related to a QoS Booking.,"If the notification callback is provided and the booking status was `REQUESTED`, `SCHEDULED` or `ACTIVATED`, when the deletion is completed, the client will receive, in addition to the response, a `BOOKING_STATUS_CHANGED` event with - `bookingStatus` as `TERMINATED` and - `statusInfo` as `DELETE_REQUESTED` There will be no notification event if the `bookingStatus` was already `TERMINATED`. **NOTES:** - The access token may be either 2-legged or 3-legged. - If a 3-legged access token is used, the subject associated with the QoS Booking must also be associated with the access token. - The QoS Bo","""Release resources related to a QoS Booking""; deletion is described with terminal status handling and no further effect once TERMINATED, an idempotent-style resource removal.",idempotent,none,
camara-test,QoSBooking,POST,/retrieve-device-qos-bookings,retrieveBookingByDevice,x,r,L2-danger-verb,"verbs=send,sent",high,Gets the QoS Booking for a device,Querying for QoS Booking resource information details for a device.,"**NOTES:** - The access token may be either 2-legged or 3-legged. - If a 3-legged access token is used, the subject associated with the QoS Booking must also be associated with the access token. In this case the optional `device` parameter MUST NOT be provided in the request. - If a 2-legged access token is used, the device parameter must be provided and identify a device. - The QoS Booking must have been created by the same API client given in the access token. - If no QoS booking is found for the requested device, an empty array is returned. - This call uses the POST method instead of GET to","""Querying for QoS Booking resource information details for a device""; body is only a device identifier and the response is a read-only array of existing bookings.",none,none,
