set,repo,path,method,operationId,summary,description
camara,CapabilitiesAndRuntimeRestrictions,/retrieve,POST,postServiceCapability,Retrieve tailored service capabilities based on consumer context,"Returns service capability information tailored to the consumer's context, including active/inactive restrictions and mapping metadata. Successful response is with sets of restrictions based on consumer context, along with a restriction mapping assigning bit positions, capability identifiers, and a mapping version. It includes response with initial bitmaps which should be enforced on the API consumer side."
camara,CarrierBillingCheckOut,/payments/{paymentId}/refunds,POST,createRefund,Create a new Refund,Create a new refund for an existing payment. Refund can be `total` or `partial`. This procedure MUST be always limited to the API client which performed the related payment.
camara,CarrierBillingCheckOut,/payments/{paymentId}/refunds,GET,retrieveRefunds,Get a list of refunds,"Retrieve a list of refunds and their details for a specific payment, identified by its `paymentId`, based on some filtering criteria. Regardless the refund criteria provided, response MUST be always limited to refunds performed by the API client (i.e same oAuth credentials) triggering this request. This is to guarantee no API client can check refunds performed by other, therefore avoiding any legal or privacy topic. When Access Token is issued for a given user phone number, the list of refunds returned would be only the ones associated to that user phone number and API client. When Access Toke"
camara,CarrierBillingCheckOut,/payments/{paymentId}/refunds/{refundId},GET,retrieveRefund,Get refund details,"Retrieve refund details for a given refund. When Access Token is issued for a given user phone number, the refund details would be returned in case the `refundId` is associated to that user phone number and API client, otherwise `404 NOT_FOUND` will be returned. When Access Token is not associated to a user phone number, the refund details are returned in case the API client managed that refund."
camara,CarrierBillingCheckOut,/payments/{paymentId}/refunds/remaining-amount,GET,retrievePaymentRemainingAmount,Get remaining amount not refunded for a given payment,"Retrieve remaining amount not yet refunded for a given payment. This amount refers to the pending amount never requested to be refunded (i.e. a refund not yet consolidated -processing- implies that such an amount is not part of the remaining amount until final status for that procedure is reached). Some cases below to illustrate the behaviour: **Case_1:** Payment of 80 EUR, with 2 partial `succedeed` Refunds, each of them of 20 EUR - remainingAmount: 40 EUR **Case_2:** Payment of 80 EUR, with 2 partial Refunds, one `succeeded` of 20 EUR and other `processing` of 15 EUR - remainingAmount: 45 EU"
camara,CarrierBillingCheckOut,/payments,POST,createPayment,Create a new Payment,Create a new payment for subsequent charging to an end user. Carrier Billing Server will apply the charging according to business configuration for the end user.
camara,CarrierBillingCheckOut,/payments,GET,retrievePayments,Get a list of payments,"Retrieve a list of payments and their details based on some filtering criteria. Regardless the payment criteria provided, response MUST be always limited to payments performed by the API client (i.e same oAuth credentials) triggering this request. This is to guarantee no API client can check payments performed by other, therefore avoiding any legal or privacy topic. When Access Token is issued for a given user phone number, the list of payments returned would be only the ones associated to that user phone number and API client. When Access Token is not associated to a user phone number, theref"
camara,CarrierBillingCheckOut,/payments/{paymentId},GET,retrievePayment,Get payment details,"Retrieve payment details for a given payment. When Access Token is issued for a given user phone number, the payment details would be returned in case the `paymentId` is associated to that user phone number and API client, otherwise `404 NOT_FOUND` will be returned. When Access Token is not associated to a user phone number, the payment details are returned in case the API client managed that payment."
camara,CarrierBillingCheckOut,/payments/prepare,POST,preparePayment,Prepare (reserve) a payment,Prepare a new payment procedure. Carrier Billing Server will apply the charging according to business configuration for the end user.
camara,CarrierBillingCheckOut,/payments/{paymentId}/validate,POST,validatePayment,Validate a payment,"Validate a given payment with a code, identified by its paymentId. This process is applicable for 2-STEP, when optionally required by business case."
camara,CarrierBillingCheckOut,/payments/{paymentId}/confirm,POST,confirmPayment,Confirm a payment,"Confirm a reservation of a given payment, identified by its paymentId."
camara,CarrierBillingCheckOut,/payments/{paymentId}/cancel,POST,cancelPayment,Cancel a payment,"Cancel a reservation of a given payment, identified by its paymentId."
camara,ClickToDial,/calls,POST,createCall,Create a new Click to Dial call session,Creates a new Click to Dial call session between the caller and the callee.
camara,ClickToDial,/calls/{callId},GET,getCall,Get call details,Retrieve the details and current status of a Click to Dial call session.
camara,ClickToDial,/calls/{callId},DELETE,terminateCall,Terminate an active call,Terminates an active Click to Dial call session identified by the given callId.
camara,ClickToDial,/calls/{callId}/recording,GET,getRecording,Get call recording,"Retrieve the recording associated with the given callId. A recording can be retrieved successfully only if recording was explicitly enabled during creation (`recordingEnabled: true`), is supported by the provider, the call session has completed, and a recording was actually generated. If no recording is available, the API returns `404 Not Found` with the code `NOT_FOUND` (or `422 RECORDING_NOT_SUPPORTED` during call creation if the provider immediately knows recording cannot be enabled)."
camara,ConnectedNetworkType,/subscriptions,POST,createConnectedNetworkTypeSubscription,Create a subscription for receiving notifications on changes to the connected network type of a device,Create a subscription for receiving notifications on changes to the connected network type of a device.
camara,ConnectedNetworkType,/subscriptions,GET,retrieveConnectedNetworkTypeSubscriptionList,Retrieve a list of device connected network type event subscription,Retrieve a list of device connected network type event subscription(s)
camara,ConnectedNetworkType,/subscriptions/{subscriptionId},GET,retrieveConnectedNetworkTypeSubscription,Retrieve a device connected network type event subscription for a device,retrieve ConnectedNetworkType subscription information for a given subscription ID.
camara,ConnectedNetworkType,/subscriptions/{subscriptionId},DELETE,deleteConnectedNetworkTypeSubscription,Delete connected network type event subscription for a device,delete a given ConnectedNetworkType subscription.
camara,ConnectedNetworkType,/retrieve,POST,getConnectedNetworkType,Get the connected network type,Get the connected network type to which the user device is connected
camara,ConnectivityInsights,/subscriptions,POST,createSubscription,Create a Connectivity insights subscription for a device,Create a Connectivity insights subscription for a device
camara,ConnectivityInsights,/subscriptions,GET,getSubscriptionList,Retrieve a list of apiName event subscription,Operation to list subscriptions authorized to be retrieved by the provided access token.
camara,ConnectivityInsights,/subscriptions/{subscriptionId},GET,getSubscription,Operation to retrieve a subscription based on the provided ID,Retrieve a given subscription by ID
camara,ConnectivityInsights,/subscriptions/{subscriptionId},DELETE,deleteSubscription,Operation to delete a subscription,Delete a given subscription by ID
camara,ConnectivityInsights,/check-network-quality,POST,checkNetworkQuality,Check the network quality.,Check the network quality. The response shows the network's current level of confidence that it can meet an application profile's quality thresholds for a given end user device.
camara,ConsentInfo,/retrieve,POST,retrieveStatus,Create a request to retrieve the validity status of the data processing,"Create a request to retrieve the validity status of the API Consumer data processing for a given User, scope(s) and Purpose. The API Consumer is identified by the `client_id` parameter deduced from the access token."
camara,ConsentManagement,/consents,POST,createConsent,Create User Consent,"This operation allows the API Consumer to create a Consent for a given User, scope(s) and Purpose. The API Consumer is identified by the `client_id` parameter deduced from the access token. The API Provider will set the creation date of the User Consent to the current date and time when the `createConsent` operation is invoked successfully by the API Consumer. The expiration date of the User Consent created by the API Consumer will be determined by the API Provider's internal policies. The API Consumer cannot set or modify the expiration date of the User Consents captured in a delegated manner"
camara,ConsentManagement,/consents/{consentId},PATCH,updateConsent,Update User Consent,"This operation allows the API Consumer to update the status of an existing Consent for a given User, scope(s) and Purpose. The API Consumer is identified by the `client_id` parameter deduced from the access token. The expiration date of the User Consent updated by the API Consumer will be determined by the API Provider's internal policies. The API Consumer cannot set or modify the expiration date of the User Consents captured in a delegated manner."
camara,ConsentManagement,/consents/retrieve-info,POST,retrieveConsentInfo,Retrieve Consent Information,"This operation allows the API Consumer to retrieve information about the Consent(s) for a given User, scope(s) and Purpose. The API Consumer is identified by the `client_id` parameter deduced from the access token. The API Consumer can request that the texts intended for or previously shown to the User during the Consent Capture process for the requested scope(s) and Purpose be included in the response. If so, the `consentText` field will be included in the response for each matching Consent Information entry. The operation response may require more than one array item for the requested scope("
camara,CustomerInsights,/scoring/retrieve,POST,retrieveScoring,Retrieves Scoring information,"Retrieves Scoring information, for the user associated with the provided `idDocument`, `phoneNumber` or the combination of both parameters. It also allows to select the type of the Scoring scale measurement."
camara,DedicatedNetworks,/accesses,GET,listAccesses,"Get a paged list of accesses to dedicated networks, optionally filtered for a given device and/or for a given dedicated network","Get a paged list of accesses to dedicated networks, optionally filtered for a given device and/or for a given dedicated network"
camara,DedicatedNetworks,/accesses,POST,createAccess,"Create an access to a dedicated network with given configuration, optionally including devices","Create an access to a dedicated network with given configuration, optionally including devices"
camara,DedicatedNetworks,/accesses/{accessId},GET,readAccess,Read access information,Read access information
camara,DedicatedNetworks,/accesses/{accessId},DELETE,deleteAccess,Delete an access,Delete an access
camara,DedicatedNetworks,/accesses/{accessId}/devices,GET,listDevices,"Read a paged list of devices with information included in the access, optionally filtered for a given device and/or for a given device status","Read a paged list of devices with information included in the access, optionally filtered for a given device and/or for a given device status"
camara,DedicatedNetworks,/accesses/{accessId}/devices/add,POST,addDevicesToAccess,Add devices to the access,Add devices to the access
camara,DedicatedNetworks,/accesses/{accessId}/devices/remove,POST,removeDevicesFromAccess,Remove devices from the access,Remove devices from the access
camara,DedicatedNetworks,/retrieve-service-areas,POST,retrieveNetworkServiceAreas,"Retrieve network service areas, filtered by additional search criteria","Retrieve a paged list of network service areas matching the provided search criteria such as location, area overlap, name, or supported profiles."
camara,DedicatedNetworks,/areas/{areaId},GET,readNetworkServiceArea,Read a network service area,Read detailed information about a specific network service area identified by its areaId.
camara,DedicatedNetworks,/profiles,GET,readNetworkProfiles,Read dedicated network profiles,"Read all available network profiles, optionally filtered by name."
camara,DedicatedNetworks,/profiles/{profileId},GET,readNetworkProfile,Read a dedicated network profile,Read detailed information about a specific network profile identified by its profileId.
camara,DedicatedNetworks,/networks,GET,listNetworks,Get a paged list of dedicated networks,"A paged list of all available dedicated networks, optionally filtered by name."
camara,DedicatedNetworks,/networks,POST,createNetwork,Request to create a dedicated network,"Create a dedicated network with the given configuration, including service time, service area, and a network profile or QoS profile."
camara,DedicatedNetworks,/networks/{networkId},GET,readNetwork,Get the current information about a dedicated network,Read the current status and configuration of a specific dedicated network identified by its networkId.
camara,DedicatedNetworks,/networks/{networkId},DELETE,deleteNetwork,Delete a dedicated network,Delete a dedicated network identified by its networkId.
camara,DeviceAuthenticity,/check-status,POST,checkImeiStatus,Check the register status of a device using its IMEI,"Verify if an IMEI is present in allowed, prohibited, or tracked lists maintained by operators"
camara,DeviceDataVolume,/subscriptions,POST,createDeviceDataVolumeSubscription,Create a device data volume event subscription,Create a subscription for data volume usage events
camara,DeviceDataVolume,/subscriptions,GET,retrieveDeviceDataVolumeSubscriptionList,Retrieve a list of device data volume subscriptions,Retrieve a list of data volume usage event subscription(s)
camara,DeviceDataVolume,/subscriptions/{subscriptionId},GET,retrieveDeviceDataVolumeSubscription,Retrieve a device data volume event subscription,Retrieve a specific subscription by ID
camara,DeviceDataVolume,/subscriptions/{subscriptionId},DELETE,deleteDeviceDataVolumeSubscription,Delete a device data volume event subscription,"This operation deletes a specific data volume usage subscription by its subscription ID. Once deleted, no more notifications will be sent for the corresponding subscription."
camara,DeviceDataVolume,/retrieve,POST,retrieveDataVolume,Execute device data volume retrieval for a user device,Retrieve the estimated remaining data volume for a device.
camara,DeviceDataVolume,/check,POST,checkDataVolume,Check if the remaining data allowance is above a specified threshold,"Check if the remaining data allowance for a specified device is above a specified threshold. If the remaining data allowance is above the threshold, then response property `thresholdExceeded` will be `true`."
camara,DeviceIdentifier,/retrieve-identifier,POST,retrieveIdentifier,Get details about the specific device being used by a given mobile subscriber,Get details about the specific device being used by a given mobile subscriber
camara,DeviceIdentifier,/retrieve-type,POST,retrieveType,Get details about the type of device being used by a given mobile subscriber,Get details about the type of device being used by a given mobile subscriber
camara,DeviceIdentifier,/retrieve-ppid,POST,retrievePpid,Get a pseudonymous identifier for device being used by a given mobile subscriber,Get a pseudonymous identifier for device being used by a given mobile subscriber
camara,DeviceIdentifier,/match-identifier,POST,matchIdentifier,Check if a provided device identifier matches the one associated with the subscription,Check if a provided device identifier matches the one the network currently associates with a given mobile subscription
camara,DeviceLocation,/subscriptions,POST,createGeofencingSubscription,Create a geofencing subscription for a device,Create a subscription for a device to receive notifications when the device enters or exits a specified area.
camara,DeviceLocation,/subscriptions,GET,retrieveGeofencingSubscriptionList,Retrieve a list of geofencing event subscription,Retrieve a list of geofencing event subscription(s).
camara,DeviceLocation,/subscriptions/{subscriptionId},GET,retrieveGeofencingSubscription,Operation to retrieve a subscription based on the provided ID,Retrieve Geofencing subscription information for a given subscription ID.
camara,DeviceLocation,/subscriptions/{subscriptionId},DELETE,deleteGeofencingSubscription,Delete a Geofencing event subscription,Delete a given Geofencing subscription.
camara,DeviceLocation,/retrieve,POST,retrieveLocation,Execute location retrieval for a user device,Retrieve the area where a certain user device is localized.
camara,DeviceLocation,/verify,POST,verifyLocation,Verify the location of a device,"Verify whether the location of a device is within a requested area. The operation returns a verification result and, optionally, a match rate estimation for the location verification in percent."
camara,DeviceMediaStreamingRate,/retrieve-maximum-downstream-media-rate,POST,retrieveMaximumDownstreamMediaRate,Get maximum downstream media streaming rate,"Retrieve the maximum downstream media streaming rate for a device. This helps application developers determine the optimal media quality settings for their applications. When using a two-legged token, the device object MUST be provided. When using a three-legged token, the device object MUST NOT be provided as the device information will be extracted from the token."
camara,DeviceReachabilityStatus,/subscriptions,POST,createDeviceReachabilityStatusSubscription,Create a device reachability status event subscription for a device,Create a device reachability status event subscription for a device
camara,DeviceReachabilityStatus,/subscriptions,GET,retrieveDeviceReachabilityStatusSubscriptionList,Retrieve a list of device reachability status event subscription,Retrieve a list of device reachability status event subscription(s)
camara,DeviceReachabilityStatus,/subscriptions/{subscriptionId},GET,retrieveDeviceReachabilityStatusSubscription,Retrieve a device reachability status event subscription for a device,Retrieve a given subscription by ID
camara,DeviceReachabilityStatus,/subscriptions/{subscriptionId},DELETE,deleteDeviceReachabilityStatusSubscription,Delete a device reachability status event subscription for a device,Delete a given subscription by ID
camara,DeviceReachabilityStatus,/retrieve,POST,getReachabilityStatus,Get the current reachability status information,Get the current reachability status information
camara,DeviceRoamingStatus,/subscriptions,POST,createDeviceRoamingStatusSubscription,Create a device roaming status event subscription for a device,Create a device roaming status event subscription for a device
camara,DeviceRoamingStatus,/subscriptions,GET,retrieveDeviceRoamingStatusSubscriptionList,Retrieve a list of device roaming status event subscription,Retrieve a list of device roaming status event subscription(s)
camara,DeviceRoamingStatus,/subscriptions/{subscriptionId},GET,retrieveDeviceRoamingStatusSubscription,Retrieve a roaming status event subscription for a device,retrieve device roaming status subscription information for a given subscription.
camara,DeviceRoamingStatus,/subscriptions/{subscriptionId},DELETE,deleteDeviceRoamingStatusSubscription,Delete a device-roaming-status event subscription for a device,Delete a given device-roaming-status subscription by ID
camara,DeviceRoamingStatus,/retrieve,POST,getRoamingStatus,Get the current roaming status and the country information,Get the current roaming status and the country information
camara,DeviceStatus,/subscriptions,POST,createConnectedNetworkTypeSubscription,Create a subscription for receiving notifications on changes to the connected network type of a device,Create a subscription for receiving notifications on changes to the connected network type of a device.
camara,DeviceStatus,/subscriptions,GET,retrieveConnectedNetworkTypeSubscriptionList,Retrieve a list of device connected network type event subscription,Retrieve a list of device connected network type event subscription(s)
camara,DeviceStatus,/subscriptions/{subscriptionId},GET,retrieveConnectedNetworkTypeSubscription,Retrieve a device connected network type event subscription for a device,retrieve ConnectedNetworkType subscription information for a given subscription ID.
camara,DeviceStatus,/subscriptions/{subscriptionId},DELETE,deleteConnectedNetworkTypeSubscription,Delete connected network type event subscription for a device,delete a given ConnectedNetworkType subscription.
camara,DeviceStatus,/retrieve,POST,getConnectedNetworkType,Get the connected network type,Get the connected network type to which the user device is connected
camara,DeviceStatus,/subscriptions,POST,createDeviceReachabilityStatusSubscription,Create a device reachability status event subscription for a device,Create a device reachability status event subscription for a device
camara,DeviceStatus,/subscriptions,GET,retrieveDeviceReachabilityStatusSubscriptionList,Retrieve a list of device reachability status event subscription,Retrieve a list of device reachability status event subscription(s)
camara,DeviceStatus,/subscriptions/{subscriptionId},GET,retrieveDeviceReachabilityStatusSubscription,Retrieve a device reachability status event subscription for a device,Retrieve a given subscription by ID
camara,DeviceStatus,/subscriptions/{subscriptionId},DELETE,deleteDeviceReachabilityStatusSubscription,Delete a device reachability status event subscription for a device,Delete a given subscription by ID
camara,DeviceStatus,/retrieve,POST,getReachabilityStatus,Get the current reachability status information,Get the current reachability status information
camara,DeviceStatus,/subscriptions,POST,createDeviceRoamingStatusSubscription,Create a device roaming status event subscription for a device,Create a device roaming status event subscription for a device
camara,DeviceStatus,/subscriptions,GET,retrieveDeviceRoamingStatusSubscriptionList,Retrieve a list of device roaming status event subscription,Retrieve a list of device roaming status event subscription(s)
camara,DeviceStatus,/subscriptions/{subscriptionId},GET,retrieveDeviceRoamingStatusSubscription,Retrieve a roaming status event subscription for a device,retrieve device roaming status subscription information for a given subscription.
camara,DeviceStatus,/subscriptions/{subscriptionId},DELETE,deleteDeviceRoamingStatusSubscription,Delete a device-roaming-status event subscription for a device,Delete a given device-roaming-status subscription by ID
camara,DeviceStatus,/retrieve,POST,getRoamingStatus,Get the current roaming status and the country information,Get the current roaming status and the country information
camara,DeviceSwap,/retrieve-date,POST,retrieveDeviceSwapDate,Get last device swap date,Get timestamp of last device swap for a mobile user account provided with phone number.
camara,DeviceSwap,/check,POST,checkDeviceSwap,Check last device swap date,Check if device swap has been performed during a past period
camara,DeviceVisitLocation,/retrieve,POST,retrieveDeviceVisitLocation,Retrieves device visit location information,Retrieves the latest visit locations of a device within a given time window.
camara,EdgeApplicationManagement,/apps,POST,submitApp,Submit application metadata to the Edge Cloud Provider.,Contains the information about the application to be instantiated in the Edge Cloud
camara,EdgeApplicationManagement,/apps,GET,getApps,Retrieve a list of existing Applications,Get the list of all existing Application definitions from the Edge Cloud Provider that the user has permission to view.
camara,EdgeApplicationManagement,/apps/{appId},GET,getApp,Retrieve the information of an Application,Ask the Edge Cloud Provider the information for a given application
camara,EdgeApplicationManagement,/apps/{appId},DELETE,deleteApp,Delete an Application from an Edge Cloud Provider,Delete all the information and content related to an Application
camara,EdgeApplicationManagement,/app-instances,POST,createAppInstance,Instantiation of an Application,Ask the Edge Cloud Platform to instantiate an application to an Edge Cloud Zone.
camara,EdgeApplicationManagement,/app-instances,GET,getAppInstances,Retrieve the information of Application Instances for a given App,Ask the Edge Cloud Provider the information of the instances for a given application
camara,EdgeApplicationManagement,/app-instances/{appInstanceId},GET,getAppInstance,Retrieve the information of an Application Instance,Ask the Edge Cloud Provider the information for a given application instance
camara,EdgeApplicationManagement,/app-instances/{appInstanceId},DELETE,deleteAppInstance,Terminate an Application Instance,Terminate a running instance of an application within an Edge Cloud Zone
camara,EdgeApplicationManagement,/deployments,POST,createAppDeployment,Deploy an Application,Ask the Edge Cloud Platform to instantiate an application to several Edge Cloud Zones.
camara,EdgeApplicationManagement,/deployments,GET,getAppDeployments,Retrieve a list of Application Deployment for a given App,Ask the Edge Cloud Provider the information of the Deployments for a given application
camara,EdgeApplicationManagement,/deployments/{appDeploymentId},GET,getAppDeployment,Retrieve the information of an Application Deployment,Ask the Edge Cloud Provider the information of a given application deployment
camara,EdgeApplicationManagement,/deployments/{appDeploymentId},DELETE,deleteAppDeployment,Terminate an Application Deployment,Delete a deployment terminating all related instances of an application
camara,EdgeApplicationManagement,/deployments/{appDeploymentId},PATCH,updateAppDeployment,Update an Application Deployment,"Update the configuration or properties of an existing application deployment using JSON Merge Patch semantics (RFC 7396). Only the fields provided in the request body will be updated. Fields not included in the request will remain unchanged. IMPORTANT: When updating array fields (like edgeCloudZones or kubernetesClusterRefs), JSON Merge Patch will REPLACE the entire array, not merge or append to it. This operation may include changing the deployment name, target Edge Cloud Zones, or other updatable fields."
camara,EdgeApplicationManagement,/edge-cloud-zones,GET,getEdgeCloudZones,Retrieve a paginated list of the provider's Edge Cloud Zones,"List of the provider's Edge Cloud Zones, including their status and, when applicable, the Kubernetes clusters available within each zone. Results can be filtered by country code, Edge Cloud Provider, Edge Cloud Provider-specific region and status, and are returned as a paginated collection."
camara,EnergyFootprintNotification,/calculate-energy-consumption,POST,calculateEnergyConsumption,Provides the overall Energy Consumption for the target Application instances in a certain period of time.,Receives as input an object containing the intents from the API Consumer and provides back the energy consumption with a callback.
camara,EnergyFootprintNotification,/calculate-carbon-footprint,POST,calculateCarbonFootprint,Retrieves the overall carbon footprint for the target Application instances in a certain period of time.,Receives as input an object containing the intents from the API Consumer and provides back the carbon footprint with a callback.
camara,HighThroughputElasticNetworks,/high-throughput-elastic-network/transmission/schedule,POST,scheduleTransmission,Submit high-throughput data transmission scheduling request,"Schedules network resources based on bandwidth, latency, file size and guarantee requirements, returns transmission plan and statistics"
camara,InHomeDeviceManagement,/v1/devices,GET,listDevices,Get all connected devices,Returns all devices currently connected to the specified household fixed-line network (identified by SSID). Supports optional filtering by connection status.
camara,InHomeDeviceManagement,/v1/devices/{deviceId},GET,getDevice,Get device details,Returns full details of a specific device connected to the household network.
camara,InHomeDeviceManagement,/v1/devices/{deviceId},PATCH,updateDevice,Update device information,"Update device information and apply network access controls. Use this operation to: - Rename a device (deviceName) - Block or unblock network access (blocked: true/false) - Pause or unpause internet access (paused: true/false), optionally with a duration"
camara,InHomeDeviceManagement,/v1/devices/{deviceId},DELETE,deleteDevice,Delete device record,Removes the device record from the household network. The device will no longer appear in the device list. Any active access control rules for this device are also removed.
camara,InHomeDeviceManagement,/v1/devices/{deviceId}/actions/{actionId},POST,performDeviceAction,Perform action on device,Execute a specific network access action on a connected device. Supported actions: - schedule-access: Schedule internet access windows for a device (e.g. parental controls). Defines allowed or blocked time windows with optional recurrence.
camara,InHomeDeviceManagement,/v1/devices/{deviceId}/network-health,GET,getDeviceNetworkHealth,Get device network health,Provides real-time network health attributes of a specific device connected to the fixed-line network (modem). Useful for: - Self-diagnosis: customers can check if device slowness is due to network issues. - Proactive alerts: monitoring solutions can detect congestion or poor signal strength. - ISP recommendations: API consumers can suggest improvements based on health data.
camara,IoTDeviceManagement,/download,POST,downloadEsimProfile,Download eSIM Profile to device,Downloads and installs an eSIM Profile to a device. The eSIM Profile will be in DISABLED state after successful download and ready for enabling. **eSIM Profile Identification**: Requires EID (target device) and activationCode. The ICCID will be assigned during the download process and returned in the response. **State Transition**: None → DISABLED **Required**: EID + activationCode
camara,IoTDeviceManagement,/enable,POST,enableEsimProfile,Enable eSIM Profile,Enables an eSIM Profile for cellular connectivity provided valid connectivity services are configured in the eSIM Profile and the network. Only one eSIM Profile can be enabled per eUICC on the device - enabling automatically disables the currently active eSIM Profile. **eSIM Profile Identification**: Uses ICCID to identify the profile. **State Transition**: DISABLED → ENABLED **Required**: ICCID
camara,IoTDeviceManagement,/disable,POST,disableEsimProfile,Disable eSIM Profile,Disables the currently enabled eSIM Profile. Device will lose cellular connectivity until another eSIM Profile is enabled. The eSIM Profile remains installed and can be re-enabled. **State Transition**: ENABLED → DISABLED **Required**: ICCID (identifies eSIM Profile and device)
camara,IoTDeviceManagement,/delete,POST,deleteEsimProfile,Delete eSIM Profile,Permanently removes an eSIM Profile from the device. This operation is irreversible and the profile cannot be recovered. The profile must be in DISABLED state before deletion. **State Transition**: DISABLED → Deleted (removed) **Required**: ICCID (identifies eSIM Profile and device)
camara,IoTDeviceManagement,/set-fallback,POST,setFallbackEsimProfile,Set fallback eSIM Profile,"Configures an eSIM Profile as fallback (backup) profile for automatic enabling if primary profiles fail. The eSIM Profile must be in DISABLED state. **Identification**: The ICCID identifies the target eSIM Profile to designate as fallback. The EID, when supplied, identifies the eUICC on which to set the fallback. When both are provided and the ICCID is not installed on the identified eUICC, the request is rejected with `422 ESIM_PROFILE_MANAGEMENT.IDENTIFIER_MISMATCH`. **State Transition**: No state change (sets attribute only) **Required**: ICCID (target eSIM Profile). **Optional**: EID (targ"
camara,IoTDeviceManagement,/retrieve-status,POST,getEsimProfileStatus,Retrieve eSIM Profile status,"Retrieves current status and state information for eSIM Profiles. This operation uses POST despite being a read operation. Device identifiers (EID/ICCID) are passed in the request body rather than as URL parameters to prevent their exposure in server logs, proxy caches, and browser history. **eSIM Profile Identification**: Accepts EID (all profiles on device), ICCID (specific profile), or both (specific profile, with the EID/ICCID pairing asserted)"
